Candidate,year,Ideology,Lower,Upper
John Dennis,2014,0.694,0.459,0.934
John Dennis,2015,0.717,0.418,1.038
John Dennis,2016,0.739,0.391,1.106
John Dennis,2017,0.762,0.368,1.159
John Dennis,2018,0.784,0.372,1.205
John Dennis,2019,0.809,0.376,1.247
John Dennis,2020,0.835,0.389,1.281
John Dennis,2021,0.858,0.427,1.295
John Dennis,2022,0.88,0.453,1.313
Walter B. Jones,2010,1.15,0.974,1.322
Walter B. Jones,2011,1.21,1.037,1.387
Walter B. Jones,2012,1.222,1.082,1.357
Walter B. Jones,2013,1.277,1.111,1.451
Walter B. Jones,2014,1.276,1.124,1.428
Walter B. Jones,2015,1.319,1.152,1.497
Walter B. Jones,2016,1.276,1.115,1.437
Walter B. Jones,2017,1.18,0.984,1.364
Walter B. Jones,2018,1.086,0.885,1.277
John Sullivan,2010,1.616,1.464,1.774
John Sullivan,2011,1.571,1.414,1.731
John Sullivan,2012,1.508,1.37,1.649
Jim Bridenstine,2012,2.042,1.88,2.204
Jim Bridenstine,2013,2.133,1.953,2.313
Jim Bridenstine,2014,2.208,2.046,2.375
Jim Bridenstine,2015,2.292,2.099,2.503
Jim Bridenstine,2016,2.32,2.135,2.516
Jim Bridenstine,2017,2.279,2.017,2.526
Lamar Smith,2010,1.692,1.554,1.836
Lamar Smith,2011,1.597,1.449,1.75
Lamar Smith,2012,1.537,1.432,1.644
Lamar Smith,2013,1.503,1.345,1.666
Lamar Smith,2014,1.41,1.281,1.536
Lamar Smith,2015,1.519,1.338,1.706
Lamar Smith,2016,1.611,1.466,1.755
Lamar Smith,2017,1.671,1.506,1.842
Lamar Smith,2018,1.68,1.514,1.849
Henry Cuellar,2010,-1.435,-1.647,-1.236
Henry Cuellar,2011,-1.427,-1.622,-1.246
Henry Cuellar,2012,-1.351,-1.497,-1.206
Henry Cuellar,2013,-1.248,-1.445,-1.035
Henry Cuellar,2014,-1.223,-1.421,-1.017
Henry Cuellar,2015,-1.201,-1.418,-0.979
Henry Cuellar,2016,-1.151,-1.357,-0.937
Henry Cuellar,2017,-1.182,-1.398,-0.959
Henry Cuellar,2018,-1.189,-1.387,-0.994
Henry Cuellar,2019,-1.092,-1.305,-0.88
Henry Cuellar,2020,-1.006,-1.202,-0.806
Henry Cuellar,2021,-0.964,-1.148,-0.773
Henry Cuellar,2022,-0.973,-1.132,-0.813
Henry Cuellar,2023,-0.986,-1.166,-0.804
Henry Cuellar,2024,-0.981,-1.164,-0.799
Anna Eshoo,2010,-2.381,-2.559,-2.208
Anna Eshoo,2011,-2.406,-2.565,-2.235
Anna Eshoo,2012,-2.421,-2.56,-2.288
Anna Eshoo,2013,-2.401,-2.564,-2.23
Anna Eshoo,2014,-2.417,-2.57,-2.271
Anna Eshoo,2015,-2.37,-2.556,-2.184
Anna Eshoo,2016,-2.281,-2.445,-2.111
Anna Eshoo,2017,-2.281,-2.45,-2.114
Anna Eshoo,2018,-2.295,-2.456,-2.141
Anna Eshoo,2019,-2.249,-2.426,-2.075
Anna Eshoo,2020,-2.205,-2.366,-2.043
Anna Eshoo,2021,-2.17,-2.347,-1.989
Anna Eshoo,2022,-2.157,-2.336,-1.98
Anna Eshoo,2023,-2.234,-2.437,-2.039
Anna Eshoo,2024,-2.291,-2.509,-2.086
Peter Welch,2010,-2.316,-2.501,-2.127
Peter Welch,2011,-2.363,-2.527,-2.199
Peter Welch,2012,-2.341,-2.476,-2.203
Peter Welch,2013,-2.39,-2.548,-2.235
Peter Welch,2014,-2.389,-2.545,-2.235
