Candidate,year,Ideology,Lower,Upper
John B. Larson,2017,-2.11,-2.287,-1.935
John B. Larson,2018,-2.1,-2.261,-1.938
John B. Larson,2019,-2.101,-2.28,-1.923
John B. Larson,2020,-2.113,-2.279,-1.949
John B. Larson,2021,-2.119,-2.3,-1.947
John B. Larson,2022,-2.085,-2.242,-1.925
John B. Larson,2023,-2.067,-2.247,-1.88
John B. Larson,2024,-2.065,-2.261,-1.865
"John J. Duncan, Jr",2010,1.455,1.284,1.629
"John J. Duncan, Jr",2011,1.478,1.295,1.648
"John J. Duncan, Jr",2012,1.559,1.423,1.696
"John J. Duncan, Jr",2013,1.522,1.359,1.679
"John J. Duncan, Jr",2014,1.501,1.353,1.646
"John J. Duncan, Jr",2015,1.566,1.392,1.741
"John J. Duncan, Jr",2016,1.591,1.435,1.744
"John J. Duncan, Jr",2017,1.6,1.429,1.778
"John J. Duncan, Jr",2018,1.597,1.435,1.757
Steve Austria,2010,1.506,1.357,1.66
Steve Austria,2011,1.483,1.326,1.641
Steve Austria,2012,1.483,1.33,1.635
Dave Loebsack,2010,-2.206,-2.381,-2.048
Dave Loebsack,2011,-2.137,-2.3,-1.977
Dave Loebsack,2012,-2.075,-2.201,-1.949
Dave Loebsack,2013,-1.954,-2.112,-1.782
Dave Loebsack,2014,-1.95,-2.085,-1.811
Dave Loebsack,2015,-1.929,-2.091,-1.764
Dave Loebsack,2016,-1.896,-2.038,-1.755
Dave Loebsack,2017,-1.859,-2.01,-1.699
Dave Loebsack,2018,-1.882,-2.01,-1.757
Dave Loebsack,2019,-1.8,-1.972,-1.618
Dave Loebsack,2020,-1.746,-1.916,-1.569
Stephen Lynch,2010,-1.28,-1.461,-1.092
Stephen Lynch,2011,-1.295,-1.477,-1.118
Stephen Lynch,2012,-1.213,-1.352,-1.071
Stephen Lynch,2013,-1.208,-1.378,-1.049
Stephen Lynch,2014,-1.137,-1.278,-0.99
Stephen Lynch,2015,-1.222,-1.405,-1.051
Stephen Lynch,2016,-1.21,-1.37,-1.054
Stephen Lynch,2017,-1.285,-1.473,-1.104
Stephen Lynch,2018,-1.358,-1.515,-1.208
Stephen Lynch,2019,-1.399,-1.575,-1.224
Stephen Lynch,2020,-1.419,-1.586,-1.253
Stephen Lynch,2021,-1.65,-1.881,-1.437
Stephen Lynch,2022,-1.768,-1.949,-1.592
Stephen Lynch,2023,-1.854,-2.051,-1.665
Stephen Lynch,2024,-1.934,-2.143,-1.736
Mark Pocan,2012,-2.718,-2.882,-2.547
Mark Pocan,2013,-2.84,-3.042,-2.644
Mark Pocan,2014,-2.941,-3.085,-2.793
Mark Pocan,2015,-2.869,-3.045,-2.692
Mark Pocan,2016,-2.779,-2.916,-2.641
Mark Pocan,2017,-2.77,-2.936,-2.608
Mark Pocan,2018,-2.755,-2.899,-2.612
Mark Pocan,2019,-2.755,-2.91,-2.595
Mark Pocan,2020,-2.8,-2.942,-2.666
Mark Pocan,2021,-2.79,-2.94,-2.642
Mark Pocan,2022,-2.756,-2.889,-2.623
Mark Pocan,2023,-2.724,-2.886,-2.562
Mark Pocan,2024,-2.754,-2.906,-2.609
Chad Lee,2010,1.435,1.227,1.645
Chad Lee,2011,1.428,1.208,1.641
Chad Lee,2012,1.419,1.228,1.61
Geoff Davis,2010,1.774,1.607,1.945
Geoff Davis,2011,1.744,1.565,1.924
Geoff Davis,2012,1.726,1.528,1.924
Steve Israel,2010,-2.202,-2.423,-1.993
Steve Israel,2011,-2.126,-2.331,-1.93
Steve Israel,2012,-2.04,-2.193,-1.885
Steve Israel,2013,-1.991,-2.166,-1.815
Steve Israel,2014,-1.96,-2.121,-1.789
Steve Israel,2015,-1.909,-2.104,-1.718
Steve Israel,2016,-1.85,-2.045,-1.642
Diane Black,2010,1.589,1.426,1.749
Diane Black,2011,1.617,1.451,1.778
Diane Black,2012,1.682,1.558,1.807
Diane Black,2013,1.737,1.569,1.913
Diane Black,2014,1.798,1.645,1.955
Diane Black,2015,1.73,1.549,1.911
Diane Black,2016,1.707,1.541,1.869
Diane Black,2017,1.805,1.613,2.002
Diane Black,2018,1.884,1.706,2.069
Barton 'Bart' Gordon,2010,-1.354,-1.549,-1.163
Barton 'Bart' Gordon,2011,-1.298,-1.548,-1.05
Barton 'Bart' Gordon,2012,-1.243,-1.498,-0.97
Elijah Cummings,2010,-2.46,-2.655,-2.268
Elijah Cummings,2011,-2.484,-2.668,-2.297
Elijah Cummings,2012,-2.543,-2.694,-2.389
Elijah Cummings,2013,-2.612,-2.801,-2.416
Elijah Cummings,2014,-2.752,-2.925,-2.588
Elijah Cummings,2015,-2.779,-2.98,-2.593
Elijah Cummings,2016,-2.749,-2.92,-2.58
Elijah Cummings,2017,-2.733,-2.938,-2.531
Elijah Cummings,2018,-2.691,-2.909,-2.472
John Sarbanes,2010,-2.162,-2.322,-2.009
John Sarbanes,2011,-2.141,-2.299,-1.984
John Sarbanes,2012,-2.116,-2.238,-1.993
John Sarbanes,2013,-2.124,-2.283,-1.965
John Sarbanes,2014,-2.182,-2.332,-2.036
John Sarbanes,2015,-2.166,-2.341,-1.997
John Sarbanes,2016,-2.145,-2.296,-2
John Sarbanes,2017,-2.14,-2.308,-1.972
John Sarbanes,2018,-2.128,-2.274,-1.978
John Sarbanes,2019,-2.142,-2.313,-1.974
John Sarbanes,2020,-2.157,-2.312,-2.003
John Sarbanes,2021,-2.102,-2.271,-1.935
John Sarbanes,2022,-2.064,-2.218,-1.907
John Sarbanes,2023,-2.104,-2.281,-1.934
John Sarbanes,2024,-2.134,-2.304,-1.958
Silvestre Reyes,2010,-2.146,-2.347,-1.95
Silvestre Reyes,2011,-2.158,-2.361,-1.954
Silvestre Reyes,2012,-2.197,-2.394,-1.999
Beto O'Rourke,2012,-1.688,-1.888,-1.49
Beto O'Rourke,2013,-1.656,-1.849,-1.458
Beto O'Rourke,2014,-1.68,-1.863,-1.494
Beto O'Rourke,2015,-1.732,-1.96,-1.497
Beto O'Rourke,2016,-1.98,-2.243,-1.754
Beto O'Rourke,2017,-2.086,-2.447,-1.777
Beto O'Rourke,2018,-2.626,-2.673,-2.581
Greg Walden,2010,1.087,0.933,1.241
Greg Walden,2011,1.178,1.022,1.34
Greg Walden,2012,1.221,1.105,1.336
Greg Walden,2013,1.17,1.015,1.325
Greg Walden,2014,1.111,0.985,1.237
Greg Walden,2015,1.046,0.871,1.21
Greg Walden,2016,1.095,0.937,1.253
Greg Walden,2017,1.224,1.017,1.432
Greg Walden,2018,1.413,1.266,1.569
Greg Walden,2019,1.342,1.174,1.505
Greg Walden,2020,1.333,1.154,1.508
Michael Fitzpatrick,2010,1.18,1.027,1.329
Michael Fitzpatrick,2011,1.272,1.105,1.442
Michael Fitzpatrick,2012,1.321,1.192,1.458
Michael Fitzpatrick,2013,1.112,0.932,1.284
Michael Fitzpatrick,2014,1.085,0.958,1.214
Michael Fitzpatrick,2015,1.077,0.917,1.239
Michael Fitzpatrick,2016,1.078,0.93,1.231
Patrick Murphy,2010,-2.002,-2.17,-1.838
Patrick Murphy,2011,-1.983,-2.198,-1.765
Patrick Murphy,2012,-1.967,-2.192,-1.744
Theodore Scott Yoho,2012,1.956,1.803,2.12
Theodore Scott Yoho,2013,1.947,1.774,2.119
Theodore Scott Yoho,2014,1.899,1.754,2.039
Theodore Scott Yoho,2015,1.865,1.699,2.031
Theodore Scott Yoho,2016,1.863,1.719,2.006
Theodore Scott Yoho,2017,1.902,1.728,2.073
Theodore Scott Yoho,2018,1.932,1.779,2.086
Theodore Scott Yoho,2019,2.001,1.813,2.186
Theodore Scott Yoho,2020,2.089,1.905,2.275
John Campbell,2010,1.456,1.291,1.623
John Campbell,2011,1.426,1.256,1.592
John Campbell,2012,1.424,1.298,1.55
John Campbell,2013,1.362,1.181,1.531
John Campbell,2014,1.348,1.179,1.519
Gerald E. 'Gerry' Connolly,2010,-2.175,-2.341,-2.01
Gerald E. 'Gerry' Connolly,2011,-2.228,-2.393,-2.063
Gerald E. 'Gerry' Connolly,2012,-2.247,-2.375,-2.119
Gerald E. 'Gerry' Connolly,2013,-2.26,-2.424,-2.104
Gerald E. 'Gerry' Connolly,2014,-2.208,-2.358,-2.066
Gerald E. 'Gerry' Connolly,2015,-2.135,-2.308,-1.956
Gerald E. 'Gerry' Connolly,2016,-2.109,-2.257,-1.959
Gerald E. 'Gerry' Connolly,2017,-2.174,-2.327,-2.019
Gerald E. 'Gerry' Connolly,2018,-2.207,-2.351,-2.063
Gerald E. 'Gerry' Connolly,2019,-2.297,-2.47,-2.126
Gerald E. 'Gerry' Connolly,2020,-2.361,-2.52,-2.206
Gerald E. 'Gerry' Connolly,2021,-2.393,-2.569,-2.227
Gerald E. 'Gerry' Connolly,2022,-2.406,-2.556,-2.257
Gerald E. 'Gerry' Connolly,2023,-2.361,-2.53,-2.193
Gerald E. 'Gerry' Connolly,2024,-2.361,-2.527,-2.197
John Garamendi,2010,-2.038,-2.211,-1.874
John Garamendi,2011,-1.995,-2.161,-1.829
John Garamendi,2012,-1.936,-2.051,-1.822
John Garamendi,2013,-1.947,-2.114,-1.781
John Garamendi,2014,-1.946,-2.103,-1.793
John Garamendi,2015,-1.883,-2.105,-1.68
John Garamendi,2016,-1.662,-1.834,-1.483
John Garamendi,2017,-1.625,-1.795,-1.436
John Garamendi,2018,-1.684,-1.832,-1.533
John Garamendi,2019,-1.746,-1.922,-1.577
John Garamendi,2020,-1.758,-1.925,-1.588
John Garamendi,2021,-1.832,-2.032,-1.638
John Garamendi,2022,-1.891,-2.082,-1.698
John Garamendi,2023,-1.964,-2.182,-1.747
John Garamendi,2024,-2.078,-2.315,-1.862
Jim Cooper,2010,-1.274,-1.442,-1.112
Jim Cooper,2011,-1.199,-1.357,-1.032
Jim Cooper,2012,-1.244,-1.372,-1.113
Jim Cooper,2013,-1.231,-1.387,-1.073
Jim Cooper,2014,-1.229,-1.37,-1.084
Jim Cooper,2015,-1.22,-1.387,-1.049
Jim Cooper,2016,-1.212,-1.375,-1.045
Jim Cooper,2017,-1.397,-1.601,-1.201
Jim Cooper,2018,-1.493,-1.648,-1.335
Jim Cooper,2019,-1.537,-1.727,-1.334
Jim Cooper,2020,-1.777,-1.925,-1.628
Jim Cooper,2021,-1.8,-1.973,-1.627
Jim Cooper,2022,-1.82,-2.029,-1.613
Jason Altmire,2010,-0.813,-0.949,-0.679
Jason Altmire,2011,-0.767,-0.92,-0.614
Jason Altmire,2012,-0.74,-0.891,-0.592
Mark Critz,2010,-1.525,-1.694,-1.357
Mark Critz,2011,-1.488,-1.665,-1.322
Mark Critz,2012,-1.371,-1.504,-1.238
Keith Rothfus,2010,1.722,1.563,1.887
Keith Rothfus,2011,1.7,1.52,1.889
Keith Rothfus,2012,1.673,1.533,1.816
Keith Rothfus,2013,1.549,1.368,1.733
Keith Rothfus,2014,1.442,1.292,1.585
Keith Rothfus,2015,1.482,1.318,1.647
Keith Rothfus,2016,1.529,1.376,1.676
Keith Rothfus,2017,1.605,1.43,1.775
Keith Rothfus,2018,1.677,1.534,1.818
Michael Capuano,2010,-2.623,-2.834,-2.42
Michael Capuano,2011,-2.62,-2.822,-2.428
Michael Capuano,2012,-2.535,-2.686,-2.38
Michael Capuano,2013,-2.504,-2.678,-2.333
Michael Capuano,2014,-2.444,-2.606,-2.281
Michael Capuano,2015,-2.402,-2.584,-2.216
Michael Capuano,2016,-2.354,-2.523,-2.183
Michael Capuano,2017,-2.405,-2.592,-2.219
Michael Capuano,2018,-2.398,-2.578,-2.221
Dave Joyce,2012,0.954,0.745,1.158
Dave Joyce,2013,0.983,0.797,1.166
Dave Joyce,2014,1.037,0.907,1.165
Dave Joyce,2015,1.003,0.832,1.165
Dave Joyce,2016,1.068,0.91,1.22
Dave Joyce,2017,1.126,0.956,1.304
Dave Joyce,2018,1.154,1.005,1.302
Dave Joyce,2019,1.285,1.097,1.476
Dave Joyce,2020,1.413,1.253,1.576
Dave Joyce,2021,1.473,1.303,1.658
Dave Joyce,2022,1.349,1.191,1.503
Dave Joyce,2023,1.297,1.128,1.468
Dave Joyce,2024,1.292,1.137,1.456
Chellie Pingree,2010,-2.55,-2.705,-2.399
Chellie Pingree,2011,-2.543,-2.7,-2.384
Chellie Pingree,2012,-2.562,-2.687,-2.438
Chellie Pingree,2013,-2.518,-2.674,-2.364
Chellie Pingree,2014,-2.516,-2.653,-2.384
Chellie Pingree,2015,-2.5,-2.666,-2.331
Chellie Pingree,2016,-2.475,-2.627,-2.329
Chellie Pingree,2017,-2.466,-2.641,-2.295
Chellie Pingree,2018,-2.458,-2.615,-2.302
Chellie Pingree,2019,-2.447,-2.621,-2.275
Chellie Pingree,2020,-2.459,-2.608,-2.313
Chellie Pingree,2021,-2.413,-2.575,-2.258
Chellie Pingree,2022,-2.388,-2.541,-2.239
Chellie Pingree,2023,-2.386,-2.562,-2.211
Chellie Pingree,2024,-2.45,-2.636,-2.272
Sander Levin,2010,-2.413,-2.608,-2.229
Sander Levin,2011,-2.376,-2.556,-2.199
Sander Levin,2012,-2.357,-2.489,-2.227
Sander Levin,2013,-2.36,-2.522,-2.197
Sander Levin,2014,-2.29,-2.426,-2.151
Sander Levin,2015,-2.247,-2.406,-2.085
Sander Levin,2016,-2.273,-2.419,-2.129
Sander Levin,2017,-2.28,-2.458,-2.107
Sander Levin,2018,-2.237,-2.412,-2.06
Don Volaric,2010,1.241,0.975,1.506
Don Volaric,2011,1.236,0.993,1.476
Don Volaric,2012,1.231,1.033,1.428
Michele Bachmann,2010,2.974,2.766,3.185
Michele Bachmann,2011,3.009,2.812,3.216
Michele Bachmann,2012,3.002,2.827,3.184
Michele Bachmann,2013,2.96,2.744,3.168
Michele Bachmann,2014,2.924,2.712,3.133
Jon Runyan,2010,1.175,1.014,1.341
Jon Runyan,2011,1.18,1.021,1.337
Jon Runyan,2012,1.228,1.103,1.358
Jon Runyan,2013,1.064,0.867,1.24
Jon Runyan,2014,1.044,0.88,1.201
John Adler,2010,-1.524,-1.721,-1.33
John Adler,2011,-1.562,-1.807,-1.325
John Adler,2012,-1.592,-1.853,-1.334
Dave Camp,2010,1.29,1.131,1.443
Dave Camp,2011,1.29,1.131,1.45
Dave Camp,2012,1.334,1.211,1.46
Dave Camp,2013,1.329,1.166,1.484
Dave Camp,2014,1.365,1.215,1.516
James Postma,2012,0.937,0.682,1.199
James Postma,2013,0.891,0.586,1.2
James Postma,2014,0.85,0.525,1.157
James Postma,2015,0.805,0.48,1.133
James Postma,2016,0.757,0.453,1.057
Jo Bonner,2010,1.369,1.189,1.545
Jo Bonner,2011,1.39,1.216,1.573
Jo Bonner,2012,1.349,1.195,1.503
David Price,2010,-2.207,-2.369,-2.048
David Price,2011,-2.166,-2.329,-2.009
David Price,2012,-2.142,-2.26,-2.028
David Price,2013,-2.012,-2.189,-1.818
David Price,2014,-2.004,-2.153,-1.852
David Price,2015,-1.983,-2.157,-1.813
David Price,2016,-1.952,-2.096,-1.807
David Price,2017,-1.802,-1.973,-1.614
David Price,2018,-1.844,-1.999,-1.688
David Price,2019,-1.9,-2.093,-1.704
David Price,2020,-1.945,-2.146,-1.752
David Price,2021,-1.991,-2.192,-1.79
David Price,2022,-2.065,-2.273,-1.865
"Charles Wilson, Jr.",2010,-1.973,-2.179,-1.774
"Charles Wilson, Jr.",2011,-1.936,-2.147,-1.725
"Charles Wilson, Jr.",2012,-1.896,-2.068,-1.72
Ben Chandler,2010,-1.548,-1.705,-1.393
Ben Chandler,2011,-1.523,-1.699,-1.335
Ben Chandler,2012,-1.68,-1.826,-1.536
Andy Barr,2010,1.654,1.479,1.824
Andy Barr,2011,1.682,1.496,1.864
Andy Barr,2012,1.712,1.577,1.846
Andy Barr,2013,1.742,1.579,1.911
Andy Barr,2014,1.701,1.561,1.84
Andy Barr,2015,1.707,1.544,1.876
Andy Barr,2016,1.681,1.54,1.821
Andy Barr,2017,1.8,1.629,1.972
Andy Barr,2018,1.86,1.72,2.003
Andy Barr,2019,1.815,1.655,1.969
Andy Barr,2020,1.832,1.697,1.972
Andy Barr,2021,1.833,1.663,2.007
Andy Barr,2022,1.696,1.536,1.854
Andy Barr,2023,1.677,1.499,1.853
Andy Barr,2024,1.723,1.546,1.901
Joe Courtney,2010,-1.816,-1.976,-1.657
Joe Courtney,2011,-1.831,-1.989,-1.674
Joe Courtney,2012,-1.837,-1.967,-1.705
Joe Courtney,2013,-1.832,-1.994,-1.675
Joe Courtney,2014,-1.824,-1.973,-1.681
Joe Courtney,2015,-1.822,-1.982,-1.661
Joe Courtney,2016,-1.794,-1.942,-1.645
Joe Courtney,2017,-1.81,-1.974,-1.641
Joe Courtney,2018,-1.833,-1.984,-1.684
Joe Courtney,2019,-1.862,-2.035,-1.698
Joe Courtney,2020,-1.877,-2.026,-1.729
Joe Courtney,2021,-1.856,-2.018,-1.693
Joe Courtney,2022,-1.828,-1.98,-1.674
Joe Courtney,2023,-1.81,-1.983,-1.638
Joe Courtney,2024,-1.818,-1.996,-1.645
"Bill Pascrell, Jr.",2010,-2.222,-2.429,-2.019
"Bill Pascrell, Jr.",2011,-2.125,-2.337,-1.924
"Bill Pascrell, Jr.",2012,-2.042,-2.197,-1.891
"Bill Pascrell, Jr.",2013,-1.993,-2.164,-1.82
"Bill Pascrell, Jr.",2014,-1.941,-2.11,-1.778
"Bill Pascrell, Jr.",2015,-1.889,-2.074,-1.708
"Bill Pascrell, Jr.",2016,-1.815,-1.978,-1.649
"Bill Pascrell, Jr.",2017,-1.893,-2.079,-1.71
"Bill Pascrell, Jr.",2018,-1.908,-2.085,-1.734
"Bill Pascrell, Jr.",2019,-2.035,-2.24,-1.834
"Bill Pascrell, Jr.",2020,-2.116,-2.291,-1.949
"Bill Pascrell, Jr.",2021,-2.106,-2.291,-1.93
"Bill Pascrell, Jr.",2022,-2.085,-2.276,-1.898
"Bill Pascrell, Jr.",2023,-2.097,-2.334,-1.868
Mike Quigly,2010,-1.675,-1.871,-1.477
Mike Quigly,2011,-1.716,-1.913,-1.52
Mike Quigly,2012,-1.741,-1.902,-1.583
Mike Quigly,2013,-1.742,-1.921,-1.563
Mike Quigly,2014,-1.799,-1.959,-1.631
Mike Quigly,2015,-1.835,-2.013,-1.655
Mike Quigly,2016,-1.854,-2.016,-1.69
Mike Quigly,2017,-1.877,-2.048,-1.703
Mike Quigly,2018,-1.934,-2.081,-1.784
Mike Quigly,2019,-1.964,-2.138,-1.786
Mike Quigly,2020,-2.057,-2.218,-1.903
Mike Quigly,2021,-2.042,-2.204,-1.883
Mike Quigly,2022,-2.041,-2.187,-1.891
Mike Quigly,2023,-2.058,-2.227,-1.887
Mike Quigly,2024,-2.105,-2.274,-1.939
Susan Davis,2010,-2.154,-2.332,-1.976
Susan Davis,2011,-2.156,-2.33,-1.993
Susan Davis,2012,-2.102,-2.228,-1.975
Susan Davis,2013,-2.135,-2.3,-1.972
Susan Davis,2014,-2.16,-2.304,-2.019
Susan Davis,2015,-2.124,-2.297,-1.952
Susan Davis,2016,-2.121,-2.283,-1.957
Susan Davis,2017,-2.099,-2.268,-1.925
Susan Davis,2018,-2.076,-2.234,-1.921
Susan Davis,2019,-2.034,-2.225,-1.835
Susan Davis,2020,-1.98,-2.179,-1.773
Howard McKeon,2010,1.65,1.486,1.82
Howard McKeon,2011,1.607,1.45,1.763
Howard McKeon,2012,1.603,1.469,1.736
Howard McKeon,2013,1.568,1.396,1.735
Howard McKeon,2014,1.552,1.393,1.716
Joseph Crowley,2010,-1.611,-1.88,-1.346
Joseph Crowley,2011,-1.636,-1.881,-1.385
Joseph Crowley,2012,-1.66,-1.873,-1.446
Joseph Crowley,2013,-1.713,-1.938,-1.493
Joseph Crowley,2014,-1.748,-1.972,-1.542
Joseph Crowley,2015,-1.644,-1.873,-1.424
Joseph Crowley,2016,-1.568,-1.785,-1.355
Joseph Crowley,2017,-1.585,-1.816,-1.355
Joseph Crowley,2018,-1.578,-1.81,-1.346
Paul D. Tonko,2010,-2.039,-2.192,-1.888
Paul D. Tonko,2011,-2.025,-2.186,-1.873
Paul D. Tonko,2012,-1.985,-2.111,-1.859
Paul D. Tonko,2013,-2.013,-2.162,-1.861
Paul D. Tonko,2014,-2.025,-2.164,-1.883
Paul D. Tonko,2015,-1.998,-2.173,-1.825
Paul D. Tonko,2016,-1.954,-2.101,-1.802
Paul D. Tonko,2017,-1.991,-2.156,-1.821
Paul D. Tonko,2018,-1.993,-2.128,-1.851
Paul D. Tonko,2019,-2.043,-2.212,-1.883
Paul D. Tonko,2020,-2.067,-2.216,-1.923
Paul D. Tonko,2021,-2.032,-2.19,-1.872
Paul D. Tonko,2022,-2.025,-2.175,-1.875
Paul D. Tonko,2023,-2.111,-2.284,-1.943
Paul D. Tonko,2024,-2.152,-2.317,-2.001
Chris Gibson,2010,1.516,1.317,1.729
Chris Gibson,2011,1.266,1.069,1.47
Chris Gibson,2012,1.182,1.052,1.319
Chris Gibson,2013,1.021,0.832,1.2
Chris Gibson,2014,1.002,0.86,1.146
Chris Gibson,2015,0.92,0.731,1.102
Chris Gibson,2016,0.849,0.673,1.024
"Frank Mirabile, Jr.",2010,1.094,0.808,1.385
"Frank Mirabile, Jr.",2011,1.012,0.711,1.307
"Frank Mirabile, Jr.",2012,0.932,0.638,1.211
Steve Pearce,2010,1.59,1.414,1.762
Steve Pearce,2011,1.584,1.417,1.751
Steve Pearce,2012,1.609,1.478,1.739
Steve Pearce,2013,1.692,1.528,1.856
Steve Pearce,2014,1.762,1.643,1.881
Steve Pearce,2015,1.783,1.612,1.951
Steve Pearce,2016,1.85,1.684,2.016
Steve Pearce,2017,1.873,1.685,2.06
Steve Pearce,2018,1.92,1.743,2.1
Harry Teague,2010,-1.663,-1.865,-1.47
Harry Teague,2011,-1.637,-1.88,-1.388
Harry Teague,2012,-1.607,-1.866,-1.35
Melvin Watt,2010,-2.271,-2.463,-2.079
Melvin Watt,2011,-2.223,-2.408,-2.036
Melvin Watt,2012,-2.231,-2.39,-2.073
Melvin Watt,2013,-2.151,-2.39,-1.894
Ron Kind,2010,-1.872,-2.046,-1.698
Ron Kind,2011,-1.799,-1.976,-1.624
Ron Kind,2012,-1.7,-1.834,-1.563
Ron Kind,2013,-1.725,-1.887,-1.561
Ron Kind,2014,-1.794,-1.94,-1.648
Ron Kind,2015,-1.792,-1.981,-1.618
Ron Kind,2016,-1.678,-1.835,-1.524
Ron Kind,2017,-1.7,-1.871,-1.532
Ron Kind,2018,-1.647,-1.804,-1.488
Ron Kind,2019,-1.588,-1.754,-1.4
Ron Kind,2020,-1.657,-1.798,-1.507
Ron Kind,2021,-1.67,-1.827,-1.511
Ron Kind,2022,-1.647,-1.8,-1.494
Ami Bera,2010,-2.158,-2.331,-1.987
Ami Bera,2011,-2.109,-2.305,-1.914
Ami Bera,2012,-2.063,-2.213,-1.92
Ami Bera,2013,-2.041,-2.214,-1.868
Ami Bera,2014,-2.103,-2.244,-1.968
Ami Bera,2015,-2.021,-2.191,-1.84
Ami Bera,2016,-1.996,-2.137,-1.856
Ami Bera,2017,-1.996,-2.15,-1.842
Ami Bera,2018,-2.002,-2.152,-1.854
Ami Bera,2019,-2.007,-2.172,-1.841
Ami Bera,2020,-2.071,-2.233,-1.915
Ami Bera,2021,-2.102,-2.271,-1.937
Ami Bera,2022,-2.111,-2.264,-1.955
Ami Bera,2023,-2.058,-2.232,-1.881
Ami Bera,2024,-2.071,-2.252,-1.894
Dan Lungren,2010,1.532,1.384,1.681
Dan Lungren,2011,1.466,1.297,1.625
Dan Lungren,2012,1.527,1.397,1.659
Blaine Luetkemeyer,2010,1.647,1.49,1.807
Blaine Luetkemeyer,2011,1.624,1.458,1.785
Blaine Luetkemeyer,2012,1.609,1.49,1.728
Blaine Luetkemeyer,2013,1.554,1.382,1.718
Blaine Luetkemeyer,2014,1.51,1.353,1.667
Blaine Luetkemeyer,2015,1.505,1.329,1.677
Blaine Luetkemeyer,2016,1.54,1.379,1.705
Blaine Luetkemeyer,2017,1.513,1.338,1.686
Blaine Luetkemeyer,2018,1.546,1.394,1.692
Blaine Luetkemeyer,2019,1.694,1.478,1.915
Blaine Luetkemeyer,2020,1.872,1.709,2.049
Blaine Luetkemeyer,2021,1.805,1.63,1.981
Blaine Luetkemeyer,2022,1.731,1.568,1.892
Blaine Luetkemeyer,2023,1.731,1.553,1.902
Blaine Luetkemeyer,2024,1.765,1.597,1.935
Alan Nunnelee,2010,1.386,1.173,1.586
Alan Nunnelee,2011,1.479,1.272,1.676
Alan Nunnelee,2012,1.622,1.475,1.771
Alan Nunnelee,2013,1.632,1.46,1.812
Alan Nunnelee,2014,1.601,1.417,1.783
Tim Ryan,2010,-2.05,-2.228,-1.883
Tim Ryan,2011,-1.969,-2.145,-1.804
Tim Ryan,2012,-1.873,-2.005,-1.74
Tim Ryan,2013,-1.851,-2.01,-1.698
Tim Ryan,2014,-1.768,-1.906,-1.629
Tim Ryan,2015,-1.728,-1.893,-1.56
Tim Ryan,2016,-1.673,-1.819,-1.521
Tim Ryan,2017,-1.698,-1.862,-1.527
Tim Ryan,2018,-1.835,-1.979,-1.687
Tim Ryan,2019,-1.925,-2.09,-1.762
Tim Ryan,2020,-1.994,-2.124,-1.869
Tim Ryan,2021,-1.964,-2.118,-1.826
Tim Ryan,2022,-1.842,-1.891,-1.791
Derek Kilmer,2012,-1.535,-1.697,-1.36
Derek Kilmer,2013,-1.739,-1.933,-1.556
Derek Kilmer,2014,-1.811,-1.955,-1.67
Derek Kilmer,2015,-1.805,-1.983,-1.639
Derek Kilmer,2016,-1.726,-1.878,-1.574
Derek Kilmer,2017,-1.855,-2.037,-1.683
Derek Kilmer,2018,-1.892,-2.041,-1.746
Derek Kilmer,2019,-1.937,-2.092,-1.779
Derek Kilmer,2020,-2.022,-2.163,-1.889
Derek Kilmer,2021,-2.047,-2.193,-1.9
Derek Kilmer,2022,-2.056,-2.197,-1.916
Derek Kilmer,2023,-2.103,-2.272,-1.936
Derek Kilmer,2024,-2.114,-2.281,-1.949
Tim Walz,2010,-2.055,-2.262,-1.868
Tim Walz,2011,-1.946,-2.121,-1.772
Tim Walz,2012,-1.88,-2.022,-1.743
Tim Walz,2013,-1.835,-2.007,-1.656
Tim Walz,2014,-1.76,-1.91,-1.607
Tim Walz,2015,-1.713,-1.891,-1.527
Tim Walz,2016,-1.714,-1.886,-1.538
Tim Walz,2017,-1.828,-2.034,-1.624
Tim Walz,2018,-1.973,-2.138,-1.802
Tim Walz,2019,-2.1,-2.208,-1.99
Tim Walz,2020,-2.09,-2.158,-2.023
Tim Walz,2021,-2.123,-2.212,-2.032
Tim Walz,2022,-2.203,-2.274,-2.134
Tim Walz,2023,-2.505,-2.641,-2.365
Tim Walz,2024,-2.748,-2.825,-2.674
Justin Amash,2010,1.951,1.79,2.112
Justin Amash,2011,1.933,1.771,2.095
Justin Amash,2012,1.915,1.783,2.047
Justin Amash,2013,1.874,1.704,2.042
Justin Amash,2014,1.802,1.647,1.953
Justin Amash,2015,1.825,1.648,2.014
Justin Amash,2016,1.766,1.597,1.941
Justin Amash,2017,1.608,1.338,1.876
Justin Amash,2018,1.311,1.061,1.546
Justin Amash,2019,0.754,0.087,1.373
Justin Amash,2020,0.096,-0.127,0.317
Bill Huizenga,2010,1.295,1.061,1.509
Bill Huizenga,2011,1.483,1.297,1.663
Bill Huizenga,2012,1.557,1.429,1.691
Bill Huizenga,2013,1.587,1.425,1.746
Bill Huizenga,2014,1.568,1.423,1.718
Bill Huizenga,2015,1.557,1.383,1.735
Bill Huizenga,2016,1.575,1.398,1.749
Bill Huizenga,2017,1.678,1.49,1.865
Bill Huizenga,2018,1.747,1.593,1.905
Bill Huizenga,2019,1.799,1.621,1.97
Bill Huizenga,2020,1.847,1.694,2.001
