Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Micahel G. Riley,U.S. House,CD-2,2012,1.159,0.914,1.405,Republican,Rhode Island,2
Jackie Speier,U.S. House,CD-12,2010,-2.419,-2.593,-2.242,Democratic,California,12
Jackie Speier,U.S. House,CD-14,2012,-2.483,-2.624,-2.346,Democratic,California,14
Jackie Speier,U.S. House,CD-14,2014,-2.502,-2.663,-2.343,Democratic,California,14
Jackie Speier,U.S. House,CD-14,2016,-2.303,-2.453,-2.152,Democratic,California,14
Jackie Speier,U.S. House,CD-14,2018,-2.293,-2.452,-2.135,Democratic,California,14
Jackie Speier,U.S. House,CD-14,2020,-2.393,-2.56,-2.232,Democratic,California,14
Nancy Pelosi,U.S. House,CD-8,2010,-3.068,-3.259,-2.884,Democratic,California,8
Nancy Pelosi,U.S. House,CD-12,2012,-3.003,-3.149,-2.862,Democratic,California,12
Nancy Pelosi,U.S. House,CD-12,2014,-2.822,-2.98,-2.676,Democratic,California,12
Nancy Pelosi,U.S. House,CD-12,2016,-2.607,-2.757,-2.46,Democratic,California,12
Nancy Pelosi,U.S. House,CD-12,2018,-2.432,-2.576,-2.289,Democratic,California,12
Nancy Pelosi,U.S. House,CD-12,2020,-2.327,-2.473,-2.179,Democratic,California,12
Nancy Pelosi,U.S. House,CD-11,2022,-2.424,-2.564,-2.283,Democratic,California,11
Nancy Pelosi,U.S. House,CD-11,2024,-2.439,-2.597,-2.281,Democratic,California,11
John Dennis,U.S. House,CD-8,2010,0.583,0.332,0.831,Republican,California,8
John Dennis,U.S. House,CD-12,2012,0.583,0.358,0.816,Republican,California,12
John Dennis,U.S. House,CD-12,2014,0.694,0.459,0.934,Republican,California,12
John Dennis,U.S. House,CD-11,2022,0.88,0.453,1.313,Republican,California,11
Walter B. Jones,U.S. House,CD-3,2010,1.15,0.974,1.322,Republican,North Carolina,3
Walter B. Jones,U.S. House,CD-3,2012,1.222,1.082,1.357,Republican,North Carolina,3
Walter B. Jones,U.S. House,CD-3,2014,1.276,1.124,1.428,Republican,North Carolina,3
Walter B. Jones,U.S. House,CD-3,2016,1.276,1.115,1.437,Republican,North Carolina,3
Walter B. Jones,U.S. House,CD-3,2018,1.086,0.885,1.277,Republican,North Carolina,3
John Sullivan,U.S. House,CD-1,2010,1.616,1.464,1.774,Republican,Oklahoma,1
John Olson,U.S. House,CD-1,2012,-0.834,-1.028,-0.64,Democratic,Oklahoma,1
Jim Bridenstine,U.S. House,CD-1,2012,2.042,1.88,2.204,Republican,Oklahoma,1
Jim Bridenstine,U.S. House,CD-1,2014,2.208,2.046,2.375,Republican,Oklahoma,1
Jim Bridenstine,U.S. House,CD-1,2016,2.32,2.135,2.516,Republican,Oklahoma,1
Lamar Smith,U.S. House,CD-21,2010,1.692,1.554,1.836,Republican,Texas,21
Lamar Smith,U.S. House,CD-21,2012,1.537,1.432,1.644,Republican,Texas,21
Lamar Smith,U.S. House,CD-21,2014,1.41,1.281,1.536,Republican,Texas,21
Lamar Smith,U.S. House,CD-21,2016,1.611,1.466,1.755,Republican,Texas,21
Henry Cuellar,U.S. House,CD-28,2010,-1.435,-1.647,-1.236,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2012,-1.351,-1.497,-1.206,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2014,-1.223,-1.421,-1.017,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2016,-1.151,-1.357,-0.937,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2018,-1.189,-1.387,-0.994,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2020,-1.006,-1.202,-0.806,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2022,-0.973,-1.132,-0.813,Democratic,Texas,28
Henry Cuellar,U.S. House,CD-28,2024,-0.981,-1.164,-0.799,Democratic,Texas,28
William Hayward,U.S. House,CD-28,2012,0.65,0.112,1.189,Republican,Texas,28
Anna Eshoo,U.S. House,CD-14,2010,-2.381,-2.559,-2.208,Democratic,California,14
Anna Eshoo,U.S. House,CD-18,2012,-2.421,-2.56,-2.288,Democratic,California,18
Anna Eshoo,U.S. House,CD-18,2014,-2.417,-2.57,-2.271,Democratic,California,18
Anna Eshoo,U.S. House,CD-18,2016,-2.281,-2.445,-2.111,Democratic,California,18
Anna Eshoo,U.S. House,CD-18,2018,-2.295,-2.456,-2.141,Democratic,California,18
Anna Eshoo,U.S. House,CD-18,2020,-2.205,-2.366,-2.043,Democratic,California,18
Anna Eshoo,U.S. House,CD-16,2022,-2.157,-2.336,-1.98,Democratic,California,16
Peter Welch,U.S. House,CD-1,2010,-2.316,-2.501,-2.127,Democratic,Vermont,1
Peter Welch,U.S. House,CD-1,2012,-2.341,-2.476,-2.203,Democratic,Vermont,1
Peter Welch,U.S. House,CD-1,2014,-2.389,-2.545,-2.235,Democratic,Vermont,1
Peter Welch,U.S. House,CD-1,2016,-2.259,-2.425,-2.087,Democratic,Vermont,1
Peter Welch,U.S. House,CD-1,2018,-2.286,-2.442,-2.129,Democratic,Vermont,1
Peter Welch,U.S. House,CD-1,2020,-2.352,-2.501,-2.206,Democratic,Vermont,1
Peter Welch,U.S. Senate,Sen-III,2022,-2.411,-2.57,-2.255,Democratic,Vermont,102
Henry Waxman,U.S. House,CD-30,2010,-2.944,-3.155,-2.751,Democratic,California,30
Henry Waxman,U.S. House,CD-33,2012,-2.735,-2.867,-2.601,Democratic,California,33
Yvette D. Clarke,U.S. House,CD-11,2010,-2.671,-2.927,-2.436,Democratic,New York,11
