,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,bonica.rid,year_bonica,candidate_bonica,state_bonica,id_lt_bonica,score,state,candidate,year
36,new hampshire,2.0,charles bass,Rep,,2344.0,B000220,4.0,,2010.0,171.0,2.0,cand1375,2010.0,charles f bass,new hampshire,4.0,0.9722456,,,
37,new hampshire,1.0,frank guinta,Rep,House,2349.0,G000570,8.0,,2010.0,173.0,3.0,cand1142,2010.0,frank guinta,new hampshire,8.0,1.0,,,
38,new hampshire,0.0,jeanne shaheen,Sen,Senate,2351.0,S001181,13.0,,2010.0,335.0,4.0,cand1594,2010.0,jeanne shaheen,new hampshire,6.0,0.99999994,,,
39,new hampshire,0.0,john lynch,Gov,,2357.0,,5.0,,2010.0,341.0,5.0,cand80744,2010.0,john lynch,new hampshire,27.0,1.0000002,,,
40,new hampshire,0.0,kelly ayotte,Sen,Senate,2359.0,A000368,9.0,,2010.0,336.0,6.0,cand1605,2010.0,kelly a ayotte,new hampshire,20.0,0.98379123,,,
41,new hampshire,0.0,paul hodes,Sen,,1027.0,H001043,1.0,,2010.0,201.0,7.0,cand996,2010.0,paul w hodes,new hampshire,3.0,0.97011614,,,
42,new hampshire,0.0,paul w. hodes,Sen,,1027.0,H001043,1.0,,2010.0,134.0,8.0,cand996,2010.0,paul w hodes,new hampshire,3.0,0.98917836,,,
43,oklahoma,3.0,frank lucas,Rep,,3053.0,L000491,13.0,,2018.0,91.0,0.0,cand1331,2018.0,frank d lucas,oklahoma,8.0,0.977075,,,
44,oklahoma,3.0,frankie robbins,Rep,,3054.0,,5.0,,2018.0,91.0,1.0,cand56151,2018.0,frankie lee robbins,oklahoma,26.0,0.9690784,,,
45,oklahoma,0.0,james lankford,Sen,Senate,3058.0,L000575,5.0,,2018.0,647.0,2.0,cand1155,2018.0,james paul lankford,oklahoma,6.0,0.96803784,,,
46,oklahoma,2.0,jason nichols,Rep,,3059.0,,1.0,,2018.0,127.0,3.0,cand142608,2018.0,jason nichols,oklahoma,18.0,0.99999917,,,
47,oklahoma,0.0,jim inhofe,Sen,,3057.0,I000024,9.0,,2018.0,646.0,4.0,cand737,2018.0,james m sen inhofe,oklahoma,5.0,0.9295208,,,
48,oklahoma,5.0,kendra horn,Rep,House,3065.0,H001083,1.0,,2018.0,165.0,5.0,cand141204,2018.0,kendra horn,oklahoma,14.0,0.99999726,,,
49,oklahoma,1.0,kevin hern,Rep,House,3066.0,H001082,1.0,,2018.0,129.0,6.0,cand140697,2018.0,kevin r hern,oklahoma,1.0,0.968553,,,
50,oklahoma,2.0,markwayne mullin,Rep,House,3069.0,M001190,9.0,,2018.0,127.0,7.0,cand216174,2018.0,markwayne mullin,oklahoma,11.0,0.999998,,,
51,oklahoma,4.0,mary brannon,Rep,,3071.0,,1.0,,2018.0,134.0,8.0,cand145891,2018.0,mary brannon,oklahoma,25.0,0.9999969,,,
52,oklahoma,0.0,mary fallin,Gov,,3070.0,F000453,10.0,,2018.0,647.0,9.0,cand216174,2018.0,markwayne mullin,oklahoma,11.0,0.83789927,,,
53,oklahoma,5.0,steve russell,Rep,House,3078.0,R000604,6.0,,2018.0,165.0,10.0,cand186778,2018.0,steven dane russell,oklahoma,9.0,0.9433437,,,
54,oklahoma,1.0,tim gilpin,Rep,,3082.0,,1.0,,2018.0,129.0,11.0,cand144761,2018.0,tim gilpin,oklahoma,20.0,0.9999987,,,
55,oklahoma,4.0,tom cole,Rep,House,3084.0,C001053,15.0,,2018.0,135.0,12.0,cand910,2018.0,tom cole,oklahoma,10.0,0.99999744,,,
56,pennsylvania,14.0,bibiana boerio,Rep,,3140.0,,,,2018.0,174.0,0.0,cand145257,2018.0,bibiana boerio,pennsylvania,123.0,0.99999833,,,
57,pennsylvania,13.0,bill shuster,Rep,,1843.0,S001154,,,2018.0,101.0,1.0,cand854,2018.0,william shuster,pennsylvania,42.0,0.90949225,,,
58,pennsylvania,2.0,bob brady,Rep,,3142.0,B001227,,,2018.0,67.0,2.0,cand1502,2018.0,robert a brady,pennsylvania,51.0,0.9345634,,,
59,pennsylvania,0.0,"bob casey, jr.",Sen,,3143.0,C001070,6.0,,2018.0,3128.0,3.0,cand1584,2018.0,robert p casey jr,pennsylvania,29.0,0.9416683,,,
60,pennsylvania,2.0,brendan boyle,Rep,,3144.0,B001296,1.0,,2018.0,139.0,4.0,cand102282,2018.0,brendan f boyle,pennsylvania,38.0,0.9727563,,,
61,pennsylvania,1.0,brendan f. boyle,Rep,,3144.0,B001296,,,2018.0,3.0,5.0,cand102282,2018.0,brendan f boyle,pennsylvania,38.0,0.99138063,,,
62,pennsylvania,13.0,brent ottaway,Rep,,3145.0,,,,2018.0,180.0,6.0,cand145405,2018.0,brent ottaway,pennsylvania,0.0,0.9999976,,,
63,pennsylvania,1.0,brian fitzpatrick,Rep,,3146.0,F000466,0.0,,2018.0,130.0,7.0,cand137634,2018.0,brian fitzpatrick,pennsylvania,35.0,0.999999,,,
64,pennsylvania,3.0,bryan leib,Rep,,3148.0,,,,2018.0,147.0,8.0,cand122012,2018.0,bryan leib,pennsylvania,129.0,0.99999696,,,
65,pennsylvania,6.0,chrissy houlahan,Rep,,3157.0,H001085,1.0,,2018.0,138.0,9.0,cand140700,2018.0,chrissy houlahan,pennsylvania,11.0,0.99999905,,,
