bonica.rid,year,candidate,state
cand10,2004,robert j dole,kansas
cand49,2010,frank annunzio,illinois
cand53,2004,john conyers jr,michigan
cand53,2006,john conyers jr,michigan
cand53,2008,john conyers jr,michigan
cand53,2010,john conyers jr,michigan
cand53,2012,john conyers jr,michigan
cand53,2014,john conyers jr,michigan
cand53,2016,john conyers jr,michigan
cand60,2014,thomas s foley,washington
cand80,2004,edward moore kennedy,massachusetts
cand80,2006,edward moore kennedy,massachusetts
cand80,2008,edward moore kennedy,massachusetts
cand80,2010,edward moore kennedy,massachusetts
cand107,2004,ernest f hollings,south carolina
cand867,2004,william lacy clay jr,missouri
cand867,2006,william lacy clay jr,missouri
cand867,2008,william lacy clay jr,missouri
cand867,2010,william lacy clay jr,missouri
cand867,2012,william lacy clay jr,missouri
cand867,2014,william lacy clay jr,missouri
cand867,2016,william lacy clay jr,missouri
cand127,2004,david r obey,wisconsin
cand127,2006,david r obey,wisconsin
cand127,2008,david r obey,wisconsin
cand127,2010,david r obey,wisconsin
cand127,2014,david r obey,wisconsin
cand131,2004,philip m crane,illinois
cand138,2004,ted stevens,alaska
cand138,2006,ted stevens,alaska
cand138,2008,ted stevens,alaska
cand138,2010,ted stevens,alaska
cand157,2004,charles b rangel,new york
cand157,2006,charles b rangel,new york
cand157,2008,charles b rangel,new york
cand157,2010,charles b rangel,new york
cand157,2012,charles b rangel,new york
cand157,2014,charles b rangel,new york
cand157,2016,charles b rangel,new york
cand160,2004,paul s sarbanes,maryland
cand160,2006,paul s sarbanes,maryland
cand163,2004,c w young,florida
cand163,2006,c w young,florida
cand163,2008,c w young,florida
cand163,2010,c w young,florida
cand163,2012,c w young,florida
cand163,2014,c w young,florida
cand167,2004,john b breaux,louisiana
cand31673,2004,robert c byrd,west virginia
cand31673,2006,robert c byrd,west virginia
cand31673,2008,robert c byrd,west virginia
cand31673,2010,robert c byrd,west virginia
cand177,2004,william thad cochran,mississippi
cand177,2006,william thad cochran,mississippi
cand177,2008,william thad cochran,mississippi
cand177,2010,william thad cochran,mississippi
cand177,2012,william thad cochran,mississippi
cand177,2014,william thad cochran,mississippi
cand177,2016,william thad cochran,mississippi
cand180,2004,benjamin a gilman,new york
cand188,2004,trent lott,mississippi
cand188,2006,trent lott,mississippi
cand188,2008,trent lott,mississippi
cand188,2010,trent lott,mississippi
cand188,2012,trent lott,mississippi
cand198,2004,ralph s regula,ohio
cand198,2006,ralph s regula,ohio
cand198,2008,ralph regula,ohio
cand201,2004,patricia schroeder,colorado
cand203,2004,fortney h stark,california
cand203,2006,fortney h stark,california
cand203,2008,fortney h stark,california
cand203,2010,fortney h stark,california
cand203,2012,fortney h stark,california
cand203,2014,fortney h stark,california
cand210,2004,donald e young,alaska
cand210,2006,donald e young,alaska
cand210,2008,donald e young,alaska
cand210,2010,donald e young,alaska
cand210,2012,donald e young,alaska
cand210,2014,donald e young,alaska
cand210,2016,donald e young,alaska
cand216,2004,john p murtha,pennsylvania
cand216,2006,john p murtha,pennsylvania
cand216,2008,john p murtha,pennsylvania
cand216,2010,john p murtha,pennsylvania
cand216,2012,john p murtha,pennsylvania
cand221,2004,joseph r biden jr,delaware
cand221,2006,joseph r biden jr,delaware
cand221,2008,joseph r biden jr,delaware
cand221,2010,joseph r biden jr,delaware
cand191768,2004,pete v domenici,new mexico
cand191768,2006,pete v domenici,new mexico
cand191768,2008,pete v domenici,new mexico
cand223,2004,jesse helms,north carolina
cand226,2014,samuel augustus nunn,georgia
cand230,2004,max s baucus,montana
cand230,2006,max s baucus,montana
cand230,2008,max s baucus,montana
cand230,2010,max s baucus,montana
cand230,2012,max s baucus,montana
cand230,2014,max s baucus,montana
cand238,2004,christopher j dodd,connecticut
cand238,2006,christopher j dodd,connecticut
cand238,2010,christopher j dodd,connecticut
cand238,2012,christopher j dodd,connecticut
cand238,2014,christopher j dodd,connecticut
cand251,2004,charles e grassley,iowa
cand251,2006,charles e grassley,iowa
cand251,2008,charles e grassley,iowa
cand251,2010,charles e grassley,iowa
cand251,2012,charles e grassley,iowa
cand251,2014,charles e grassley,iowa
cand251,2016,charles e grassley,iowa
cand253,2004,thomas richard harkin,iowa
cand253,2006,thomas richard harkin,iowa
cand253,2008,thomas richard harkin,iowa
cand253,2010,thomas richard harkin,iowa
cand253,2012,thomas richard harkin,iowa
cand253,2014,thomas richard harkin,iowa
cand253,2016,thomas richard harkin,iowa
cand255,2004,w g bill hefner,north carolina
cand260,2004,henry j hyde,illinois
cand260,2006,henry j hyde,illinois
cand267,2008,john j lafalce,new york
cand267,2014,john j lafalce,new york
cand267,2016,john j lafalce,new york
cand274,2004,george miller iii,california
cand274,2006,george miller iii,california
cand274,2008,george miller iii,california
cand274,2010,george miller iii,california
cand274,2012,george miller iii,california
cand274,2014,george miller iii,california
cand274,2016,george miller iii,california
cand282,2004,james louis oberstar,minnesota
cand282,2006,james louis oberstar,minnesota
cand282,2008,james louis oberstar,minnesota
cand282,2010,james louis oberstar,minnesota
cand282,2012,james louis oberstar,minnesota
cand284,2014,larry pressler,south dakota
cand284,2016,larry pressler,south dakota
cand295,2004,henry a waxman,california
cand295,2006,henry a waxman,california
cand295,2008,henry a waxman,california
cand295,2010,henry a waxman,california
cand295,2012,henry a waxman,california
cand295,2014,henry a waxman,california
cand295,2016,henry a waxman,california
cand303,2004,ron paul,texas
cand303,2006,ron paul,texas
cand303,2008,ron paul,texas
cand303,2010,ron paul,texas
cand310,2004,patrick j leahy,vermont
cand310,2006,patrick j leahy,vermont
cand310,2008,patrick j leahy,vermont
cand310,2010,patrick j leahy,vermont
cand310,2012,patrick j leahy,vermont
cand310,2014,patrick j leahy,vermont
cand310,2016,patrick j leahy,vermont
cand314,2004,daniel kahikina akaka,hawaii
cand314,2006,daniel kahikina akaka,hawaii
cand314,2008,daniel kahikina akaka,hawaii
cand314,2010,daniel kahikina akaka,hawaii
cand314,2012,daniel kahikina akaka,hawaii
cand325,2004,norman d dicks,washington
cand325,2006,norman d dicks,washington
cand325,2008,norman d dicks,washington
cand325,2010,norman d dicks,washington
cand325,2012,norman d dicks,washington
cand325,2014,norman d dicks,washington
cand326,2004,robert kenneth dornan,california
cand326,2006,robert kenneth dornan,california
cand341,2004,edgar l jenkins,georgia
cand341,2006,edgar l jenkins,georgia
cand342,2004,dale e kildee,michigan
cand342,2006,dale e kildee,michigan
cand342,2008,dale e kildee,michigan
cand342,2010,dale e kildee,michigan
cand342,2012,dale e kildee,michigan
cand342,2014,dale e kildee,michigan
cand344,2004,james a s leach,iowa
cand344,2006,james a s leach,iowa
cand344,2008,james a s leach,iowa
cand346,2004,edward john markey,massachusetts
cand346,2006,edward john markey,massachusetts
cand346,2008,edward john markey,massachusetts
cand346,2010,edward john markey,massachusetts
cand346,2012,edward john markey,massachusetts
cand346,2014,edward john markey,massachusetts
cand346,2016,edward john markey,massachusetts
cand351,2004,barbara mikulski,maryland
cand351,2006,barbara mikulski,maryland
cand351,2008,barbara mikulski,maryland
cand351,2010,barbara mikulski,maryland
cand351,2012,barbara mikulski,maryland
cand351,2014,barbara mikulski,maryland
cand351,2016,barbara mikulski,maryland
cand359,2004,nick joe rahall jr,west virginia
cand359,2006,nick joe rahall jr,west virginia
cand359,2008,nick joe rahall jr,west virginia
cand359,2010,nick joe rahall jr,west virginia
cand359,2012,nick joe rahall jr,west virginia
cand359,2014,nick joe rahall jr,west virginia
cand359,2016,nick joe rahall jr,west virginia
cand362,2004,ike skelton,missouri
cand362,2006,ike skelton,missouri
cand362,2008,ike skelton,missouri
cand362,2010,ike skelton,missouri
cand382,2004,orrin grant hatch,utah
cand382,2006,orrin grant hatch,utah
cand382,2008,orrin grant hatch,utah
cand382,2010,orrin grant hatch,utah
cand382,2012,orrin grant hatch,utah
cand382,2014,orrin grant hatch,utah
cand382,2016,orrin grant hatch,utah
cand384,2004,richard g lugar,indiana
cand384,2006,richard g lugar,indiana
cand384,2008,richard g lugar,indiana
cand384,2010,richard g lugar,indiana
cand384,2012,richard g lugar,indiana
cand396,2004,douglas k bereuter,nebraska
cand408,2004,thomas andrew daschle,south dakota
cand408,2006,thomas andrew daschle,south dakota
cand408,2010,thomas andrew daschle,south dakota
cand417,2004,martin frost,texas
cand417,2006,martin frost,texas
cand417,2010,martin frost,texas
cand434,2004,jerry lewis,california
cand434,2006,jerry lewis,california
cand434,2008,jerry lewis,california
cand434,2010,jerry lewis,california
cand434,2012,jerry lewis,california
cand434,2014,jerry lewis,california
cand437,2004,daniel e lungren,california
cand437,2006,daniel e lungren,california
cand437,2008,daniel e lungren,california
cand437,2010,daniel e lungren,california
cand437,2012,daniel e lungren,california
cand437,2014,daniel e lungren,california
cand1218772,2004,robert matsui,california
cand121877,2006,doris matsui,california
cand121877,2008,doris matsui,california
cand121877,2010,doris matsui,california
cand121877,2012,doris matsui,california
cand121877,2014,doris matsui,california
cand121877,2016,doris matsui,california
cand441,2004,bill nelson,florida
cand441,2006,bill nelson,florida
cand441,2008,bill nelson,florida
cand441,2010,bill nelson,florida
cand441,2012,bill nelson,florida
cand441,2014,bill nelson,florida
cand441,2016,bill nelson,florida
cand446,2004,martin olav sabo,minnesota
cand446,2006,martin olav sabo,minnesota
cand447,2004,f james sensenbrenner jr,wisconsin
cand447,2006,f james sensenbrenner jr,wisconsin
cand447,2008,f james sensenbrenner jr,wisconsin
cand447,2010,f james sensenbrenner jr,wisconsin
cand447,2012,f james sensenbrenner jr,wisconsin
cand447,2014,f james sensenbrenner jr,wisconsin
cand447,2016,f james sensenbrenner jr,wisconsin
cand451,2004,olympia j snowe,maine
cand451,2006,olympia j snowe,maine
cand451,2008,olympia j snowe,maine
cand451,2010,olympia j snowe,maine
cand451,2012,olympia j snowe,maine
cand451,2014,olympia j snowe,maine
cand451,2016,olympia j snowe,maine
cand454,2004,charles stenholm,texas
cand454,2006,charles stenholm,texas
cand459,2004,william m thomas,california
cand459,2006,william m thomas,california
cand465,2004,thomas petri,wisconsin
cand465,2006,thomas petri,wisconsin
cand465,2008,thomas petri,wisconsin
cand465,2010,thomas petri,wisconsin
cand465,2012,thomas petri,wisconsin
cand465,2014,thomas petri,wisconsin
cand465,2016,thomas petri,wisconsin
cand476,2004,james j exon,nebraska
cand476,2006,james j exon,nebraska
cand481,2004,carl levin,michigan
cand481,2006,carl levin,michigan
cand481,2008,carl levin,michigan
cand481,2010,carl levin,michigan
cand481,2012,carl levin,michigan
cand481,2014,carl levin,michigan
cand484,2004,john william warner iii,virginia
cand484,2006,john william warner iii,virginia
cand484,2008,john william warner iii,virginia
cand492,2010,daniel r coats,indiana
cand492,2012,daniel r coats,indiana
cand492,2014,daniel r coats,indiana
cand492,2016,daniel r coats,indiana
cand495,2004,larry e craig,idaho
cand495,2006,larry e craig,idaho
cand495,2008,larry e craig,idaho
cand495,2010,larry e craig,idaho
cand496,2008,hal daub,nebraska
cand498,2004,byron l dorgan,north dakota
cand498,2006,byron l dorgan,north dakota
cand498,2008,byron l dorgan,north dakota
cand498,2010,byron l dorgan,north dakota
cand499,2004,david t dreier,california
cand499,2006,david t dreier,california
cand499,2008,david t dreier,california
cand499,2010,david t dreier,california
cand499,2012,david t dreier,california
cand511,2004,barney frank,massachusetts
cand511,2006,barney frank,massachusetts
cand511,2008,barney frank,massachusetts
cand511,2010,barney frank,massachusetts
cand511,2012,barney frank,massachusetts
cand513,2004,judd alan gregg,new hampshire
cand513,2006,judd alan gregg,new hampshire
cand513,2008,judd alan gregg,new hampshire
cand513,2010,judd alan gregg,new hampshire
cand516,2004,james v hansen,utah
cand520,2006,dennis m hertel,michigan
cand522,2004,duncan l hunter,california
cand522,2006,duncan l hunter,california
cand522,2008,duncan l hunter,california
cand524,2004,thomas p lantos,california
cand524,2006,thomas p lantos,california
cand524,2008,thomas p lantos,california
cand524,2012,thomas p lantos,california
cand529,2004,bill mccollum,florida
cand531,2006,bob mcewen,ohio
cand531,2008,bob mcewen,ohio
cand539,2004,pat roberts,kansas
cand539,2006,pat roberts,kansas
cand539,2008,pat roberts,kansas
cand539,2010,pat roberts,kansas
cand539,2012,pat roberts,kansas
cand539,2014,pat roberts,kansas
cand539,2016,c patrick roberts,kansas
cand541,2004,harold rogers,kentucky
cand541,2006,harold rogers,kentucky
cand541,2008,harold rogers,kentucky
cand541,2010,harold rogers,kentucky
cand541,2012,harold rogers,kentucky
cand541,2014,harold rogers,kentucky
cand541,2016,harold rogers,kentucky
cand542,2004,margaret roukema,new jersey
cand545,2004,charles e schumer,new york
cand545,2006,charles e schumer,new york
cand545,2008,charles e schumer,new york
cand545,2010,charles e schumer,new york
cand545,2012,charles e schumer,new york
cand545,2014,charles e schumer,new york
cand545,2016,charles schumer,new york
cand546,2006,robert n shamansky,ohio
cand546,2008,robert n shamansky,ohio
cand547,2004,eugene clay shaw jr,florida
cand547,2006,eugene clay shaw jr,florida
cand547,2008,eugene clay shaw jr,florida
cand550,2004,christopher h smith,new jersey
cand550,2006,christopher h smith,new jersey
cand550,2008,christopher h smith,new jersey
cand550,2010,christopher h smith,new jersey
cand550,2012,christopher h smith,new jersey
cand550,2014,christopher h smith,new jersey
cand550,2016,christopher h smith,new jersey
cand556,2004,frank r wolf,virginia
cand556,2006,frank r wolf,virginia
cand556,2008,frank r wolf,virginia
cand556,2010,frank r wolf,virginia
cand556,2012,frank r wolf,virginia
cand556,2014,frank r wolf,virginia
cand558,2004,ron wyden,oregon
cand558,2006,ron wyden,oregon
cand558,2008,ron wyden,oregon
cand558,2010,ron wyden,oregon
cand558,2012,ron wyden,oregon
cand558,2014,ron wyden,oregon
cand558,2016,ronald lee wyden,oregon
cand560,2004,steny hamilton hoyer,maryland
cand560,2006,steny hamilton hoyer,maryland
cand560,2008,steny hamilton hoyer,maryland
cand560,2010,steny hamilton hoyer,maryland
cand560,2012,steny hamilton hoyer,maryland
cand560,2014,steny hamilton hoyer,maryland
cand560,2016,steny hamilton hoyer,maryland
cand562,2004,michael g oxley,ohio
cand562,2006,michael g oxley,ohio
cand574,2004,frank murkowski,alaska
cand574,2006,frank h murkowski,alaska
cand574,2008,frank murkowski,alaska
cand574,2010,frank murkowski,alaska
cand575,2004,donald lee nickles,oklahoma
cand575,2006,donald lee nickles,oklahoma
cand194302,2004,arlen specter,pennsylvania
cand194302,2006,arlen specter,pennsylvania
cand194302,2008,arlen specter,pennsylvania
cand578,2004,jeff bingaman,new mexico
cand578,2006,jeff bingaman,new mexico
cand578,2008,jeff bingaman,new mexico
cand578,2010,jeff bingaman,new mexico
cand578,2012,jeff bingaman,new mexico
cand580,2004,frank r lautenberg,new jersey
cand580,2006,frank r lautenberg,new jersey
cand580,2008,frank r lautenberg,new jersey
cand580,2010,frank r lautenberg,new jersey
cand580,2012,frank r lautenberg,new jersey
cand580,2014,frank r lautenberg,new jersey
cand583,2006,john f kerry,massachusetts
cand583,2008,john f kerry,massachusetts
cand583,2010,john f kerry,massachusetts
cand583,2012,john f kerry,massachusetts
cand583,2014,john f kerry,massachusetts
cand585,2004,john davison rockefeller iv,west virginia
cand585,2006,john davison rockefeller iv,west virginia
cand585,2008,john davison rockefeller iv,west virginia
cand585,2010,john davison rockefeller iv,west virginia
cand585,2012,john davison rockefeller iv,west virginia
cand585,2014,john davison rockefeller iv,west virginia
cand586,2004,gary l ackerman,new york
cand586,2006,gary l ackerman,new york
cand586,2008,gary l ackerman,new york
cand586,2010,gary l ackerman,new york
cand586,2012,gary l ackerman,new york
cand591,2004,howard l berman,california
cand591,2006,howard l berman,california
cand591,2008,howard l berman,california
cand591,2010,howard l berman,california
cand591,2012,howard l berman,california
cand591,2014,howard l berman,california
cand592,2004,michael bilirakis,florida
cand592,2006,michael bilirakis,florida
cand592,2008,michael bilirakis,florida
cand592,2010,michael bilirakis,florida
cand593,2004,sherwood l boehlert,new york
cand593,2006,sherwood l boehlert,new york
cand594,2004,robert a borski jr,pennsylvania
cand596,2004,frederick carlyle rick boucher,virginia
cand596,2006,frederick carlyle rick boucher,virginia
cand596,2008,frederick carlyle rick boucher,virginia
cand596,2010,frederick carlyle rick boucher,virginia
cand596,2012,frederick carlyle rick boucher,virginia
cand597,2004,barbara boxer,california
cand597,2006,barbara boxer,california
cand597,2008,barbara boxer,california
cand597,2010,barbara boxer,california
cand597,2012,barbara boxer,california
cand597,2014,barbara boxer,california
cand597,2016,barbara boxer,california
cand600,2004,danny l burton,indiana
cand600,2006,danny l burton,indiana
cand600,2008,danny l burton,indiana
cand600,2010,danny l burton,indiana
cand600,2012,danny l burton,indiana
cand600,2014,danny l burton,indiana
cand601,2004,thomas r carper,delaware
cand601,2006,thomas r carper,delaware
cand601,2008,thomas r carper,delaware
cand601,2010,thomas r carper,delaware
cand601,2012,thomas r carper,delaware
cand601,2014,thomas r carper,delaware
cand601,2016,thomas r carper,delaware
cand605,2004,james cooper,tennessee
cand605,2006,james cooper,tennessee
cand605,2008,james cooper,tennessee
cand605,2010,james cooper,tennessee
cand605,2012,james cooper,tennessee
cand605,2014,james cooper,tennessee
cand605,2016,jim cooper,tennessee
cand606,2004,mike dewine,ohio
cand606,2006,mike dewine,ohio
cand606,2008,mike dewine,ohio
cand607,2004,richard j durbin,illinois
cand607,2006,richard j durbin,illinois
cand607,2008,richard j durbin,illinois
cand607,2010,richard j durbin,illinois
cand607,2012,richard j durbin,illinois
cand607,2014,richard j durbin,illinois
cand607,2016,richard j durbin,illinois
cand609,2004,lane allen evans,illinois
cand609,2006,lane allen evans,illinois
cand609,2008,lane allen evans,illinois
cand612,2004,george w gekas,pennsylvania
cand614,2004,nancy l johnson,connecticut
cand614,2006,nancy l johnson,connecticut
cand614,2008,nancy l johnson,connecticut
cand615,2004,marcy kaptur,ohio
cand615,2006,marcy kaptur,ohio
cand615,2008,marcy kaptur,ohio
cand615,2010,marcy kaptur,ohio
cand615,2012,marcy kaptur,ohio
cand615,2014,marcy kaptur,ohio
cand615,2016,marcy kaptur,ohio
cand619,2004,sander levin,michigan
cand619,2006,sander levin,michigan
cand619,2008,sander levin,michigan
cand619,2010,sander levin,michigan
cand619,2012,sander levin,michigan
cand619,2014,sander levin,michigan
cand619,2016,sander levin,michigan
cand620,2010,meldon e levine,california
cand620,2016,meldon e levine,california
cand622,2004,william g lipinski,illinois
cand622,2006,william g lipinski,illinois
cand623,2004,connie mack,florida
cand623,2006,connie mack,florida
cand625,2004,john mccain,arizona
cand625,2006,john s mccain,arizona
cand625,2010,john mccain,arizona
cand625,2012,john s mccain,arizona
cand625,2014,john s mccain,arizona
cand625,2016,john s mccain,arizona
cand635,2004,solomon p ortiz,texas
cand635,2006,solomon p ortiz,texas
cand635,2008,solomon p ortiz,texas
cand635,2010,solomon p ortiz,texas
cand635,2012,solomon p ortiz,texas
cand636,2004,major robert owens,new york
cand636,2006,major robert owens,new york
cand636,2008,major robert owens,new york
cand636,2010,major robert owens,new york
cand636,2012,major robert owens,new york
cand637,2006,ronald c packard,california
cand637,2010,ronald c packard,california
cand640,2004,harry mason reid,nevada
cand640,2006,harry mason reid,nevada
cand640,2008,harry mason reid,nevada
cand640,2010,harry mason reid,nevada
cand640,2012,harry mason reid,nevada
cand640,2014,harry mason reid,nevada
cand640,2016,harry mason reid,nevada
cand647,2008,james c slattery,kansas
cand650,2004,john m spratt jr,south carolina
cand650,2006,john m spratt jr,south carolina
cand650,2008,john m spratt jr,south carolina
cand650,2010,john m spratt jr,south carolina
cand650,2012,john m spratt jr,south carolina
cand650,2014,john m spratt jr,south carolina
cand653,2006,robin m tallon jr,south carolina
cand653,2010,robin m tallon jr,south carolina
cand653,2012,robin m tallon jr,south carolina
cand656,2004,robert g torricelli,new jersey
cand656,2006,robert g torricelli,new jersey
cand657,2004,edolphus towns,new york
cand657,2006,edolphus towns,new york
cand657,2008,edolphus towns,new york
cand657,2010,edolphus towns,new york
cand657,2012,edolphus towns,new york
cand657,2014,edolphus towns,new york
cand666,2004,george w buddy darden iii,georgia
cand666,2006,george w buddy darden iii,georgia
cand667,2004,gerald d kleczka,wisconsin
cand668,2004,alan b mollohan,west virginia
cand668,2006,alan b mollohan,west virginia
cand668,2008,alan b mollohan,west virginia
cand668,2010,alan b mollohan,west virginia
cand668,2012,alan b mollohan,west virginia
cand670,2004,joe linus barton,texas
cand670,2006,joe linus barton,texas
cand670,2008,joe linus barton,texas
cand670,2010,joe linus barton,texas
cand670,2012,joe linus barton,texas
cand670,2014,joe linus barton,texas
cand670,2016,joe linus barton,texas
cand675,2008,herbert leon callahan,alabama
cand677,2004,john howard coble,north carolina
cand677,2006,john howard coble,north carolina
cand677,2008,john howard coble,north carolina
cand677,2010,john howard coble,north carolina
cand677,2012,john howard coble,north carolina
cand677,2014,john howard coble,north carolina
cand678,2004,larry combest,texas
cand679,2004,tom delay,texas
cand679,2006,tom delay,texas
cand679,2008,tom delay,texas
cand104002,2004,joseph j dioguardi,new york
cand104002,2006,joseph j dioguardi,new york
cand104002,2008,joseph j dioguardi,new york
cand104002,2010,joseph j dioguardi,new york
cand684,2004,bart rep gordon,tennessee
cand684,2006,bart rep gordon,tennessee
cand684,2008,bart rep gordon,tennessee
cand684,2010,bart rep gordon,tennessee
cand684,2014,bart rep gordon,tennessee
cand684,2016,barton j gordon,tennessee
cand688,2004,paul e kanjorski,pennsylvania
cand688,2006,paul e kanjorski,pennsylvania
cand688,2008,paul e kanjorski,pennsylvania
cand688,2010,paul e kanjorski,pennsylvania
cand689,2004,james t kolbe,arizona
cand689,2006,james t kolbe,arizona
cand696,2004,h james saxton,new jersey
cand696,2006,h james saxton,new jersey
cand696,2008,h james saxton,new jersey
cand696,2010,h james saxton,new jersey
cand696,2012,h james saxton,new jersey
cand696,2014,h james saxton,new jersey
cand699,2014,robert smith,new hampshire
cand699,2016,robert c smith,new hampshire
cand700,2014,richard stallings,idaho
cand707,2004,peter j visclosky,indiana
cand707,2006,peter j visclosky,indiana
cand707,2008,peter j visclosky,indiana
cand707,2010,peter j visclosky,indiana
cand707,2012,peter j visclosky,indiana
cand707,2014,peter j visclosky,indiana
cand707,2016,peter j visclosky,indiana
cand713,2004,neil abercrombie,hawaii
cand713,2006,neil abercrombie,hawaii
cand713,2008,neil abercrombie,hawaii
cand713,2010,neil abercrombie,hawaii
cand714,2004,richard hugh baker,louisiana
cand714,2006,richard hugh baker,louisiana
cand714,2008,richard hugh baker,louisiana
cand715,2004,thomas cass ballenger,north carolina
cand719,2004,jim bunning,kentucky
cand719,2006,jim bunning,kentucky
cand719,2008,jim bunning,kentucky
cand719,2010,jim bunning,kentucky
cand721,2004,benjamin l cardin,maryland
cand721,2006,benjamin l cardin,maryland
cand721,2008,benjamin l cardin,maryland
cand721,2010,benjamin l cardin,maryland
cand721,2012,benjamin l cardin,maryland
cand721,2014,benjamin l cardin,maryland
cand721,2016,benjamin l cardin,maryland
cand723,2004,peter a defazio,oregon
cand723,2006,peter a defazio,oregon
cand723,2008,peter a defazio,oregon
cand723,2010,peter a defazio,oregon
cand723,2012,peter a defazio,oregon
cand723,2014,peter a defazio,oregon
cand723,2016,peter a defazio,oregon
cand726,2004,elton william gallegly,california
cand726,2006,elton william gallegly,california
cand726,2008,elton william gallegly,california
cand726,2010,elton william gallegly,california
cand726,2012,elton william gallegly,california
cand726,2014,elton william gallegly,california
cand730,2004,j dennis hastert,illinois
cand730,2006,j dennis hastert,illinois
cand730,2008,j dennis hastert,illinois
cand732,2004,joel m hefley,colorado
cand732,2006,joel m hefley,colorado
cand732,2008,joel m hefley,colorado
cand733,2004,walter william wally herger jr,california
cand733,2006,walter william wally herger jr,california
cand733,2008,walter william wally herger jr,california
cand733,2010,walter william wally herger jr,california
cand733,2012,walter william wally herger jr,california
cand735,2004,clyde c holloway,louisiana
cand735,2014,clyde c holloway,louisiana
cand735,2016,clyde c holloway,louisiana
cand736,2004,amory houghton jr,new york
cand737,2004,james m inhofe,oklahoma
cand737,2006,james m inhofe,oklahoma
cand737,2008,james m inhofe,oklahoma
cand737,2010,james m inhofe,oklahoma
cand737,2012,james m inhofe,oklahoma
cand737,2014,james m inhofe,oklahoma
cand737,2016,james m inhofe,oklahoma
cand738,2004,tim johnson,south dakota
cand738,2006,tim johnson,south dakota
cand738,2008,tim johnson,south dakota
cand738,2010,tim johnson,south dakota
cand738,2012,tim johnson,south dakota
cand738,2014,tim johnson,south dakota
cand738,2016,timothy peter johnson,south dakota
cand740,2008,joseph p kennedy jr,massachusetts
cand740,2012,joseph p kennedy jr,massachusetts
cand740,2014,joseph p kennedy jr,massachusetts
cand740,2016,joseph p kennedy jr,massachusetts
cand742,2004,jon l kyl,arizona
cand742,2006,jon l kyl,arizona
cand742,2008,jon l kyl,arizona
cand742,2010,jon l kyl,arizona
cand742,2012,jon l kyl,arizona
cand50137,2004,john robert lewis,georgia
cand50137,2006,john robert lewis,georgia
cand50137,2008,john robert lewis,georgia
cand50137,2010,john robert lewis,georgia
cand50137,2012,john robert lewis,georgia
cand50137,2014,john robert lewis,georgia
cand50137,2016,john robert lewis,georgia
cand746,2006,kweisi mfume,maryland
cand750,2004,david eugene price,north carolina
cand750,2006,david eugene price,north carolina
cand750,2008,david eugene price,north carolina
cand750,2010,david eugene price,north carolina
cand750,2012,david eugene price,north carolina
cand750,2014,david eugene price,north carolina
cand750,2016,david eugene price,north carolina
cand68881642,2006,thomas c sawyer,ohio
cand68881642,2008,thomas c sawyer,ohio
cand756,2004,louise mcintosh slaughter,new york
cand756,2006,louise mcintosh slaughter,new york
cand756,2008,louise mcintosh slaughter,new york
cand756,2010,louise mcintosh slaughter,new york
cand756,2012,louise mcintosh slaughter,new york
cand756,2014,louise mcintosh slaughter,new york
cand756,2016,louise mcintosh slaughter,new york
cand757,2004,lamar s smith,texas
cand757,2006,lamar s smith,texas
cand757,2008,lamar s smith,texas
cand757,2010,lamar s smith,texas
cand757,2012,lamar s smith,texas
cand757,2014,lamar s smith,texas
cand757,2016,lamar s smith,texas
cand758,2004,frederick stephen upton,michigan
cand758,2006,frederick stephen upton,michigan
cand758,2008,frederick stephen upton,michigan
cand758,2010,frederick stephen upton,michigan
cand758,2012,frederick stephen upton,michigan
cand758,2014,frederick stephen upton,michigan
cand758,2016,frederick stephen upton,michigan
cand759,2004,curt weldon,pennsylvania
cand759,2006,curt weldon,pennsylvania
cand759,2008,curt weldon,pennsylvania
cand760,2004,nancy pelosi,california
cand760,2006,nancy pelosi,california
cand760,2008,nancy pelosi,california
cand760,2010,nancy pelosi,california
cand760,2012,nancy pelosi,california
cand760,2014,nancy pelosi,california
cand760,2016,nancy pelosi,california
cand761,2004,christopher shays,connecticut
cand761,2006,christopher shays,connecticut
cand761,2008,christopher shays,connecticut
cand761,2010,christopher shays,connecticut
cand761,2012,christopher shays,connecticut
cand761,2014,christopher shays,connecticut
cand761,2016,christopher shays,connecticut
cand762,2004,bob clement,tennessee
cand763,2004,james o mccrery iii,louisiana
cand763,2006,james o mccrery iii,louisiana
cand763,2008,james o mccrery iii,louisiana
cand765,2004,jerry f costello,illinois
cand765,2006,jerry f costello,illinois
cand765,2008,jerry f costello,illinois
cand765,2010,jerry f costello,illinois
cand765,2012,jerry f costello,illinois
cand765,2014,jerry f costello,illinois
cand765,2016,jerry f costello,illinois
cand766,2004,frank pallone jr,new jersey
cand766,2006,frank pallone jr,new jersey
cand766,2008,frank pallone jr,new jersey
cand766,2010,frank pallone jr,new jersey
cand766,2012,frank pallone jr,new jersey
cand766,2014,frank pallone jr,new jersey
cand766,2016,frank pallone jr,new jersey
cand767,2004,john james duncan jr,tennessee
cand767,2006,john james duncan jr,tennessee
cand767,2008,john james duncan jr,tennessee
cand767,2010,john james duncan jr,tennessee
cand767,2012,john james duncan jr,tennessee
cand767,2014,john james duncan jr,tennessee
cand767,2016,john james duncan jr,tennessee
cand768,2004,christopher s bond,missouri
