candidate_bonica,candidate_ces,bonica.rid,Unique_Project_ID,district_bonica,district_ces,check,cycle,seat,distcyc,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
brian mast,brian mast,cand103484,869,FL18,18,TRUE,2018,federal:house,2018_FL_18,florida,Rep,,M001199,3,,2018,172,6,florida,37,0.9999981,,,
brian mast,brian mast,cand103484,869,FL18,18,TRUE,2020,federal:house,2020_FL_18,florida,Rep,,M001199,3,,2020,165,8,florida,103,0.9999981,,,
byron donalds,byron donalds,cand152855,870,FL19,19,TRUE,2022,federal:house,2022_FL_19,florida,Rep,House,D000032,0,"Only has 2012 data, not a 2020",2022,153,8,florida,100,0.9999976,,,
shannon roberts,shannon roberts,cand35988,871,FL08,8,TRUE,2012,federal:house,2012_FL_8,florida,Rep,,,2,,2012,64,102,florida,36,0.9999977,,,
carl j domino,carl domino,cand160664,872,FL18,18,TRUE,2014,federal:house,2014_FL_18,florida,Rep,,,2,,2014,22,7,florida,82,0.98887295,,,
carla a spalding,carla spalding,cand140584,873,FL23,23,TRUE,2020,federal:house,2020_FL_23,florida,Rep,,,0,,2020,140,10,florida,67,0.9923395,,,
carlos curbelo,carlos curbelo,cand160423,874,FL26,26,TRUE,2018,federal:house,2018_FL_26,florida,Rep,House,C001107,6,,2018,114,7,florida,48,0.99999106,,,
carlos gimenez,carlos gimenez,cand152892,875,FL26,26,TRUE,2020,federal:house,2020_FL_26,florida,Rep,,G000593,0,,2020,101,11,florida,69,0.9999987,,,
carol platt,carol platt,cand134050,876,FL09,9,TRUE,2014,federal:house,2014_FL_9,florida,Rep,,,2,,2014,24,9,florida,65,0.9999974,,,
charlie joseph crist,charlie crist,cand106118,877,FL13,13,TRUE,2016,federal:house,2016_FL_13,florida,Rep,,C001111,3,,2016,219,12,florida,99,0.9335053,,,
charlie justice,charlie justice,cand35933,878,FL10,10,TRUE,2010,federal:house,2010_FL_10,florida,Rep,,,1,,2010,173,12,florida,61,0.9999988,,,
charles samuel stuart,charlie stuart,cand50016,879,FL08,8,TRUE,2006,federal:house,2006_FL_8,florida,Rep,,,1,,2006,116,8,florida,52,0.9266632,,,
christopher j hunter,chris hunter,cand143658,880,FL12,12,TRUE,2018,federal:house,2018_FL_12,florida,Rep,,,1,,2018,210,9,florida,105,0.95523965,,,
christine l jennings,christine jennings,cand46386,881,FL13,13,TRUE,2006,federal:house,2006_FL_13,florida,Rep,,,1,,2006,109,9,florida,42,0.9902226,,,
christine yvonne quinn,christine quinn,cand137455,882,FL14,14,TRUE,2016,federal:house,2016_FL_14,florida,Rep,,,1,,2016,199,13,florida,117,0.956536,,,
christine yvonne quinn,christine quinn,cand137455,882,FL14,14,TRUE,2020,federal:house,2020_FL_14,florida,Rep,,,1,,2020,156,13,florida,72,0.956536,,,
cindy lyn banyai,cindy banyai,cand150392,883,FL19,19,TRUE,2020,federal:house,2020_FL_19,florida,Rep,,,0,,2020,186,14,florida,178,0.97188604,,,
ciro d rodriguez,ciro rodriguez,cand1496,884,TX23,23,TRUE,2010,federal:house,2010_TX_23,texas,Rep,,R000568,4,,2010,132,6,texas,28,0.9915309,,,
clifford b stearns,clifford b. stearns,cand799,885,FL06,6,TRUE,2008,federal:house,2008_FL_6,florida,Rep,,S000822,1,,2008,78,13,florida,4,0.9932654,,,
clint curtis,clint curtis,cand149427,886,FL06,6,TRUE,2020,federal:house,2020_FL_6,florida,Rep,,,0,,2020,198,15,florida,163,0.99999803,,,
connie mack,connie mack,cand623,887,FLS12,17,,2012,federal:senate,2012_FL_S,florida,Rep,,M001155,1,,2012,1,17,florida,7,1.0000002,,,
connie mack,connie mack,cand623,887,,17,,2012,federal:committee,,florida,Rep,,M001155,1,,2012,1,17,florida,7,1.0000002,,,
corrine brown,corrine brown,cand1267,888,FL05,2,FALSE,2012,federal:house,2012_FL_5,florida,Rep,,B000911,1,,2012,1,20,florida,16,1.0000001,,,
corry westbrook,corry westbrook,cand132938,889,FL08,8,TRUE,2016,federal:house,2016_FL_8,florida,Rep,,,1,,2016,185,15,florida,40,0.99999595,,,
curtis j clawson,curt clawson,cand143184,890,FL19,19,TRUE,2014,federal:house,2014_FL_19,florida,Rep,House,C001102,4,,2014,74,11,florida,88,0.9588051,,,
danny l burton,dan burton,cand600,891,IN05,5,TRUE,2006,federal:house,2006_IN_5,indiana,Rep,,B001149,8,,2006,100,4,indiana,1,0.9338785,,,
dana cottrell,dana cottrell,cand144617,892,FL11,11,TRUE,2020,federal:house,2020_FL_11,florida,Rep,,,1,,2020,227,16,florida,124,0.9999987,,,
daniel webster,daniel webster,cand1107,893,FL10,6,FALSE,2016,federal:house,2016_FL_10,florida,Rep,,W000806,,,2016,16,17,florida,21,0.9999984,,,
daniel webster,daniel webster,cand1107,893,FL11,11,TRUE,2020,federal:house,2020_FL_11,florida,Rep,,W000806,5,,2020,227,17,florida,114,0.9999984,,,
darren soto,darren soto,cand32865,894,FL09,9,TRUE,2020,federal:house,2020_FL_9,florida,Rep,,S001200,3,,2020,225,18,florida,104,0.9999981,,,
david c koller,david koller,cand143162,895,FL11,11,TRUE,2014,federal:house,2014_FL_11,florida,Rep,,,2,,2014,47,15,florida,72,0.9802269,,,
david j weldon,dave weldon,cand1346,896,FL15,15,TRUE,2006,federal:house,2006_FL_15,florida,Rep,,,3,,2006,114,14,florida,28,0.9488782,,,
david e bruderly,david bruderly,cand41397,897,FL06,6,TRUE,2006,federal:house,2006_FL_6,florida,Rep,,,1,,2006,115,15,florida,35,0.97432023,,,
david cox,david cox,cand131135,898,FL06,6,TRUE,2014,federal:house,2014_FL_6,florida,Rep,,,2,,2014,47,13,florida,59,0.99999785,,,
david holden,david holden,cand141094,899,FL19,19,TRUE,2018,federal:house,2018_FL_19,florida,Rep,,,1,,2018,161,13,florida,68,0.9999991,,,
david w jolly,david jolly,cand143167,900,FL13,12,FALSE,2016,federal:house,2016_FL_13,florida,Rep,,J000296,,,2016,25,21,florida,47,0.97589564,,,
david w jolly,david jolly,cand143167,900,FLS16,12,,2016,federal:senate,2016_FL_S,florida,Rep,,J000296,,,2016,25,21,florida,47,0.97589564,,,
david big dave patlak,david patlak,cand46420,901,FL18,18,TRUE,2006,federal:house,2006_FL_18,florida,Rep,,,1,,2006,52,16,florida,45,0.9462078,,,
david price,david price,cand750,902,NC04,1,FALSE,2022,federal:house,2022_NC_4,north carolina,Rep,,P000523,2,,2022,7,11,north carolina,23,0.99999887,,,
david rivera,david rivera,cand1112,903,FL26,19,FALSE,2012,federal:house,2012_FL_26,florida,Rep,,R000590,1,,2012,1,24,florida,48,1.0000001,,,
m david shapiro,david shapiro,cand142447,904,FL16,16,TRUE,2018,federal:house,2018_FL_16,florida,Rep,,,1,,2018,173,14,florida,98,0.97601575,,,
debbie mucarsel powell,debbie mucarsel-powell,cand141562,905,FL26,26,TRUE,2020,federal:house,2020_FL_26,florida,Rep,House,M001207,1,,2020,101,19,florida,80,0.98212016,,,
debbie wasserman schultz,debbie wasserman schultz,cand927,906,FL23,3,FALSE,2012,federal:house,2012_FL_23,florida,Rep,,W000797,1,,2012,1,25,florida,8,1.0000002,,,
dennis alan ross,dennis ross,cand1108,907,FL12,12,TRUE,2010,federal:house,2010_FL_12,florida,Rep,House,R000593,1,,2010,177,19,florida,68,0.95444214,,,
dennis j kucinich,dennis j. kucinich,cand1474,908,OH09,7,FALSE,2012,federal:house,2012_OH_9,ohio,Rep,,K000336,1,,2012,1,17,ohio,18,0.9968884,,,
donna deegan,donna deegan,cand152804,909,FL04,4,TRUE,2020,federal:house,2020_FL_4,florida,Rep,,,0,,2020,175,21,florida,30,0.99999803,,,
donna shalala,donna shalala,cand144624,910,FL27,27,TRUE,2018,federal:house,2018_FL_27,florida,Rep,House,S001206,1,,2018,120,18,florida,121,0.99999875,,,
douglas david tudor,"douglas david ""doug"" tudor",cand54106,911,FL12,12,TRUE,2008,federal:house,2008_FL_12,florida,Rep,,,1,,2008,18,18,florida,75,0.97604394,,,
dufirstson julio neree,durfirston neree,cand50087,912,FL24,24,TRUE,2014,federal:house,2014_FL_24,florida,Rep,,,2,,2014,8,18,florida,105,0.8634683,,,
eugene clay shaw jr,e. clay shaw,cand547,913,FL22,22,TRUE,2006,federal:house,2006_FL_22,florida,Rep,,S000303,1,,2006,83,18,florida,2,0.92643714,,,
eddie adams jr,"eddie adams, jr.",cand50050,914,FL11,11,TRUE,2008,federal:house,2008_FL_11,florida,Rep,,,1,,2008,13,19,florida,54,0.9856028,,,
edward j lynch,edward j. lynch,cand54147,915,FL19,19,TRUE,2008,federal:house,2008_FL_19,florida,Rep,,,1,,2008,24,20,florida,83,0.9929954,,,
edward whitfield,edward whitfield,cand1362,916,KY01,1,TRUE,2010,federal:house,2010_KY_1,kentucky,Rep,,W000413,1,,2010,103,4,kentucky,6,1,,,
edward whitfield,edward whitfield,cand1362,916,KY01,2,FALSE,2012,federal:house,2012_KY_1,kentucky,Rep,,W000413,1,,2012,3,9,kentucky,5,1,,,
emanuel cleaver jr,emanuel cleaver,cand940,917,MO05,5,TRUE,2006,federal:house,2006_MO_5,missouri,Rep,House,C001061,12,,2006,98,4,missouri,6,0.97259337,,,
evelio otero,"evelio otero, jr.",cand41454,918,FL14,14,TRUE,2012,federal:house,2012_FL_14,florida,Rep,,,2,,2012,44,33,florida,74,0.97265893,,,
f james sensenbrenner jr,"f. james sensenbrenner, jr.",cand447,919,WI05,5,TRUE,2006,federal:house,2006_WI_5,wisconsin,Rep,,S000244,3,,2006,101,3,wisconsin,1,0.96118337,,,
faye armitage,faye armitage,cand54078,920,FL07,7,TRUE,2008,federal:house,2008_FL_7,florida,Rep,,,1,,2008,24,21,florida,66,1.0000001,,,
francis rooney,francis rooney,cand138523,921,FL19,19,TRUE,2016,federal:house,2016_FL_19,florida,Rep,House,R000607,3,,2016,158,25,florida,142,0.99999815,,,
francis rooney,francis rooney,cand138523,921,FL19,19,TRUE,2020,federal:house,2020_FL_19,florida,Rep,House,R000607,3,,2020,186,23,florida,127,0.99999815,,,
francisco jose gonzalez soldevilla,frank gonzalez,cand46432,922,FL21,21,TRUE,2006,federal:house,2006_FL_21,florida,Rep,,,1,,2006,86,20,florida,47,0.91040367,,,
frank kratovil,"frank kratovil, jr.",cand1048,923,MD01,1,TRUE,2010,federal:house,2010_MD_1,maryland,Rep,,K000371,2,,2010,124,11,maryland,7,0.9767437,,,
frederica s wilson,frederica s. wilson,cand1109,924,FL24,24,TRUE,2016,federal:house,2016_FL_24,florida,Rep,,W000808,3,,2016,179,26,florida,23,0.9915121,,,
gabriel rothblatt,gabriel rothblatt,cand133855,925,FL08,8,TRUE,2014,federal:house,2014_FL_8,florida,Rep,,,2,,2014,38,20,florida,64,0.9999957,,,
gary adler,gary adler,cand152808,926,FL05,5,TRUE,2020,federal:house,2020_FL_5,florida,Rep,,,0,,2020,185,25,florida,31,0.9999984,,,
gary t steele,gary stein,cand68965281,927,,2,,2010,state:governor,,new jersey,Rep,,,1,,2010,119,12,new jersey,51,0.8824137,,,
george william buck,george buck,cand144012,928,FL13,13,TRUE,2018,federal:house,2018_FL_13,florida,Rep,,,1,,2018,171,21,florida,108,0.96046025,,,
george austin selmont,george selmont,cand144614,930,FL04,4,TRUE,2018,federal:house,2018_FL_4,florida,Rep,,,1,,2018,163,22,florida,129,0.9359224,,,
ginny brown waite,ginny brown-waite,cand879,931,FL05,5,TRUE,2006,federal:house,2006_FL_5,florida,Rep,,B001247,3,,2006,144,21,florida,12,0.97819936,,,
gloreatha scurry smith,glo smith,cand103379,932,FL05,5,TRUE,2014,federal:house,2014_FL_5,florida,Rep,,,3,,2014,13,21,florida,57,0.8797438,,,
gregory wayne musselwhite sr,greg musselwhite,cand148306,933,FL20,20,TRUE,2020,federal:house,2020_FL_20,florida,Rep,,,0,,2020,119,26,florida,149,0.89413214,,,
greg steube,greg steube,cand144621,934,FL17,17,TRUE,2020,federal:house,2020_FL_17,florida,Rep,,S001214,1,,2020,202,27,florida,120,0.99999785,,,
gwen graham,gwen graham,cand132937,935,FL02,2,TRUE,2016,federal:house,2016_FL_2,florida,Rep,,G000575,4,,2016,115,31,florida,37,0.999999,,,
adam hasner,h. david werder,,936,FL22,11,FALSE,2012,federal:house,2012_FL_22,florida,Rep,,,2,,2012,79,40,florida,99,0.8545569,,,
adam hasner,h. david werder,,936,FLS12,11,,2012,federal:senate,2012_FL_S,florida,Rep,,,2,,2012,79,40,florida,99,0.8545569,,,
joseph h shuler,heath shuler,cand1001,937,NC11,11,TRUE,2006,federal:house,2006_NC_11,north carolina,Rep,House,S001171,6,,2006,79,10,north carolina,6,0.9154421,,,
heather m beaven,heather beaven,cand35902,938,FL06,6,TRUE,2012,federal:house,2012_FL_6,florida,Rep,,,2,,2012,76,42,florida,30,0.9860461,,,
henry lawrence,heny lawrence,cand143176,939,FL16,16,TRUE,2014,federal:house,2014_FL_16,florida,Rep,,,2,,2014,36,24,florida,79,0.95487976,,,
ileana ros lehtinen,ileana ros-lehitinen,cand806,940,FL27,27,TRUE,2012,federal:house,2012_FL_27,florida,Rep,,R000435,2,,2012,8,43,florida,3,0.9811764,,,
john h jack kingston,jack kingston,cand1277,941,GA01,1,TRUE,2014,federal:house,2014_GA_1,georgia,Rep,House,K000220,11,,2014,16,10,georgia,9,0.9639951,,,
john h jack kingston,jack kingston,cand1277,941,GAS14,1,,2014,federal:senate,2014_GA_S,georgia,Rep,House,K000220,11,,2014,16,10,georgia,9,0.9639951,,,
jim cooper,jim cooper,cand605,942,TN05,5,TRUE,2016,federal:house,2016_TN_5,tennessee,Rep,,C000754,14,,2016,155,7,tennessee,0,0.99999976,,,
james e bryan,james bryan,cand54048,943,FL01,1,TRUE,2014,federal:house,2014_FL_1,florida,Rep,,,2,,2014,32,26,florida,106,0.97566956,,,
james e clyburn,james e. clyburn,cand1552,944,SC06,6,TRUE,2014,federal:house,2014_SC_6,south carolina,Rep,,C000537,3,,2014,9,7,south carolina,5,0.99202365,,,
james theopolis golden,james golden,cand35975,945,FL13,13,TRUE,2010,federal:house,2010_FL_13,florida,Rep,,,1,,2010,199,24,florida,73,0.92715275,,,
james r langevin,james r. langevin,cand856,946,RI02,2,TRUE,2006,federal:house,2006_RI_2,rhode island,Rep,,L000559,4,,2006,64,4,rhode island,0,0.9890702,,,
james r langevin,james r. langevin,cand856,946,RI02,2,TRUE,2008,federal:house,2008_RI_2,rhode island,Rep,,L000559,4,,2008,41,1,rhode island,0,0.9890702,,,
james r langevin,james r. langevin,cand856,946,RI02,1,FALSE,2012,federal:house,2012_RI_2,rhode island,Rep,,L000559,2,,2012,3,6,rhode island,0,0.9890702,,,
james c jim marshall,jim marshall,cand883,947,GA08,8,TRUE,2006,federal:house,2006_GA_8,georgia,Rep,House,M001146,4,,2006,39,8,georgia,3,0.96692705,,,
james john piccillo,james piccillo,cand35886,948,FL05,5,TRUE,2010,federal:house,2010_FL_5,florida,Rep,,,1,,2010,278,25,florida,46,0.98202795,,,
james lloyd roach,james roach,cand35982,949,FL14,14,TRUE,2010,federal:house,2010_FL_14,florida,Rep,,,1,,2010,195,26,florida,75,0.9439197,,,
jan schneider,jan schneider,cand41469,950,FL16,16,TRUE,2016,federal:house,2016_FL_16,florida,Rep,,,1,,2016,168,33,florida,29,0.999999,,,
janice d schakowsky,janice schakowsky,cand1515,951,IL09,9,TRUE,2016,federal:house,2016_IL_9,illinois,Rep,,S001145,5,,2016,193,13,illinois,12,0.9878173,,,
jacques rene gaillot jr,"jaques rene gailot, jr",cand41565,952,FL03,3,TRUE,2012,federal:house,2012_FL_3,florida,Rep,,,2,,2012,67,51,florida,105,0.9552512,,,
jason h kendall,jason kendall,cand41416,953,FL07,7,TRUE,2012,federal:house,2012_FL_7,florida,Rep,,,2,,2012,73,53,florida,67,0.9846633,,,
jay alan bonner,jay bonner,cand143187,954,FL20,20,TRUE,2014,federal:house,2014_FL_20,florida,Rep,,,2,,2014,17,27,florida,92,0.930416,,,
james joseph jay mcgovern,jay mcgovern,cand165082,955,FL04,4,TRUE,2008,federal:house,2008_FL_4,florida,Rep,,,1,,2008,26,25,florida,62,0.932467,,,
joe negron,jeb bush,,956,FL16,0,FALSE,2006,federal:house,2006_FL_16,florida,Gov,,,1,,2006,2277,24,florida,44,0.8120319,,,
jefferson b miller,jeff miller,cand830,957,FL01,1,TRUE,2008,federal:house,2008_FL_1,florida,Rep,,M001144,13,,2008,75,26,florida,6,0.9474717,,,
jennifer mijares zimmerman,jennifer zimmerman,cand144001,958,FL01,1,TRUE,2018,federal:house,2018_FL_1,florida,Rep,,,1,,2018,190,26,florida,119,0.9683188,,,
jerry moran,jerry moran,cand1448,959,KS01,1,TRUE,2006,federal:house,2006_KS_1,kansas,Rep,House,M000934,5,,2006,107,3,kansas,4,0.99999994,,,
jerry moran,jerry moran,cand1448,959,KS01,1,TRUE,2008,federal:house,2008_KS_1,kansas,Rep,House,M000934,5,,2008,75,3,kansas,4,0.99999994,,,
jerry moran,jerry moran,cand1448,959,KSS16,0,,2012,federal:senate,2012_KS_S,kansas,Sen,Senate,M000934,11,,2012,184,6,kansas,2,0.99999994,,,
jerry moran,jerry moran,cand1448,959,KSS16,0,,2014,federal:senate,2014_KS_S,kansas,Sen,Senate,M000934,11,,2014,106,2,kansas,2,0.99999994,,,
jerry moran,jerry moran,cand1448,959,KSS16,0,,2016,federal:senate,2016_KS_S,kansas,Sen,Senate,M000934,11,,2016,532,3,kansas,2,0.99999994,,,
jerry moran,jerry moran,cand1448,959,KSS22,0,,2020,federal:senate,2020_KS_S,kansas,Sen,Senate,M000934,11,,2020,469,3,kansas,17,0.99999994,,,
jessica d ehrlich,jessica ehrlich,cand41445,960,FL13,13,TRUE,2012,federal:house,2012_FL_13,florida,Rep,,,2,,2012,84,56,florida,72,0.9866235,,,
jim & jones davis,jim davis,cand1440,961,FL11,0,FALSE,2006,federal:house,2006_FL_11,florida,Gov,,D000114,1,,2006,2276,26,florida,31,0.9501419,,,
jim & jones davis,jim davis,cand1440,961,,0,,2006,state:governor,,florida,Gov,,D000114,1,,2006,2276,26,florida,31,0.9501419,,,
jim mccormick,jim horn,,962,FL19,16,FALSE,2010,federal:house,2010_FL_19,florida,Rep,,,1,,2010,172,28,florida,93,0.86093396,,,
james kennedy,jim kennedy,cand149262,963,FL08,8,TRUE,2020,federal:house,2020_FL_8,florida,Rep,,,0,,2020,196,29,florida,160,0.961836,,,
james kelly lange,jim lange,cand137456,964,FL15,15,TRUE,2016,federal:house,2016_FL_15,florida,Rep,,,1,,2016,183,35,florida,116,0.9132078,,,
james l pruden,jim pruden,cand152878,965,FL22,22,TRUE,2020,federal:house,2020_FL_22,florida,Rep,,,0,,2020,179,30,florida,65,0.9403235,,,
joe garcia,joe garcia,cand54165,966,FL26,26,TRUE,2012,federal:house,2012_FL_26,florida,Rep,House,G000573,6,,2012,40,59,florida,114,0.99999917,,,
joe kaufman,joe kaufman,cand41529,967,FL23,23,TRUE,2014,federal:house,2014_FL_23,florida,Rep,,,3,,2014,18,30,florida,46,0.999997,,,
joseph bryant roberts,joe roberts,cand49979,968,FL01,1,TRUE,2006,federal:house,2006_FL_1,florida,Rep,,,1,,2006,75,27,florida,49,0.92648596,,,
john a boccieri,john boccieri,cand1070,969,OH16,16,TRUE,2010,federal:house,2010_OH_16,ohio,Rep,,B001263,3,,2010,132,11,ohio,14,0.98981327,,,
john f chagnon,john chagnon,cand50011,970,FL07,7,TRUE,2006,federal:house,2006_FL_7,florida,Rep,,,1,,2006,131,28,florida,51,0.97748494,,,
john l mica,john l. mica,cand1270,971,FL07,7,TRUE,2008,federal:house,2008_FL_7,florida,Rep,House,M000689,4,,2008,55,27,florida,26,0.99164754,,,
john t russell,john russell,cand46345,972,FL05,5,TRUE,2008,federal:house,2008_FL_5,florida,Rep,,,2,,2008,43,28,florida,39,0.9667313,,,
john rutherford,john rutherford,cand138161,973,FL05,4,FALSE,2022,federal:house,2022_FL_5,florida,Rep,,R000609,3,,2022,36,33,florida,31,0.9999991,,,
john m spratt jr,"john m. spratt, jr.",cand650,974,SC05,5,TRUE,2006,federal:house,2006_SC_5,south carolina,Rep,,S000749,1,,2006,70,8,south carolina,0,0.98170555,,,
john yarmuth,john yarmuth,cand987,975,KY03,3,TRUE,2022,federal:house,2022_KY_3,kentucky,Rep,House,Y000062,12,,2022,155,10,kentucky,6,0.99999726,,,
jonathan michael snow,jonathan michael snow,cand41430,976,FL12,12,TRUE,2012,federal:house,2012_FL_12,florida,Rep,,,2,,2012,77,66,florida,69,0.9999999,,,
joseph e budd,joseph budd,cand36030,977,FL19,19,TRUE,2010,federal:house,2010_FL_19,florida,Rep,,,1,,2010,155,31,florida,91,0.9754093,,,
karen harrington,karen harrington,cand36038,978,FL23,23,TRUE,2012,federal:house,2012_FL_23,florida,Rep,,,2,,2012,45,67,florida,40,1,,,
kat cammack,kat cammack,cand152792,979,FL03,3,TRUE,2022,federal:house,2022_FL_3,florida,Rep,House,C001039,0,,2022,182,35,florida,181,0.99999666,,,
kathy castor,kathy castor,cand973,980,FL11,11,TRUE,2008,federal:house,2008_FL_11,florida,Rep,House,C001066,5,,2008,40,30,florida,16,1.0000001,,,
katherine harris,katherine harris,cand880,981,FLS06,0,,2006,federal:senate,2006_FL_S,florida,Sen,,H001035,1,,2006,2259,31,florida,13,0.99999595,,,
kathleen ann dahlkemper,kathy dahlkemper,cand1072,982,PA03,3,TRUE,2010,federal:house,2010_PA_3,pennsylvania,Rep,,D000608,4,,2010,150,18,pennsylvania,13,0.9680511,,,
keith fitzgerald,keith fitzgerald,cand41474,983,FL16,16,TRUE,2012,federal:house,2012_FL_16,florida,Rep,,,2,,2012,81,71,florida,77,0.99999815,,,
kenneth randol mcgurn,"kenneth ""ken"" mcgurn",cand138801,984,FL03,3,TRUE,2016,federal:house,2016_FL_3,florida,Rep,,,1,,2016,194,41,florida,152,0.94216204,,,
kimberly h walker,kimberly walker,cand134696,985,FL12,12,TRUE,2020,federal:house,2020_FL_12,florida,Rep,,,0,,2020,187,34,florida,129,0.98471487,,,
kristen carlson,kristen carlson,cand145828,986,FL15,15,TRUE,2018,federal:house,2018_FL_15,florida,Rep,,,1,,2018,181,30,florida,141,0.99999636,,,
kristy thripp,kristy thripp,cand152789,987,FL02,2,TRUE,2020,federal:house,2020_FL_2,florida,Rep,,,0,,2020,168,35,florida,3,0.99999803,,,
laura loomer,laura loomer,cand149874,988,FL21,21,TRUE,2020,federal:house,2020_FL_21,florida,Rep,,,0,,2020,150,36,florida,168,0.9999313,,,
lauren baer,lauren baer,cand142449,989,FL18,18,TRUE,2018,federal:house,2018_FL_18,florida,Rep,,,1,,2018,172,31,florida,92,0.9999981,,,
lavern spicer,lavern spicer,cand152889,990,FL24,24,TRUE,2020,federal:house,2020_FL_24,florida,Rep,,,0,,2020,95,37,florida,70,0.99999875,,,
euna leanne kolb,leanne kolb,cand35862,991,FL05,5,TRUE,2012,federal:house,2012_FL_5,florida,Rep,,,2,,2012,37,73,florida,25,0.90838635,,,
leo valentin,leo valentin,cand152815,992,FL07,7,TRUE,2020,federal:house,2020_FL_7,florida,Rep,,,0,,2020,216,38,florida,35,0.9999987,,,
lincoln diaz balart,lincoln diaz-balart,cand1275,993,FL21,21,TRUE,2008,federal:house,2008_FL_21,florida,Rep,House,D000299,5,,2008,55,32,florida,29,0.98298186,,,
lois j frankel,lois frankel,cand164988,994,FL21,20,FALSE,2016,federal:house,2016_FL_21,florida,Rep,,F000462,1,,2016,1,42,florida,30,0.988168,,,
lois j frankel,lois frankel,cand164988,994,FL21,21,TRUE,2018,federal:house,2018_FL_21,florida,Rep,House,F000462,3,,2018,144,32,florida,51,0.988168,,,
lois j frankel,lois frankel,cand164988,994,FL21,21,TRUE,2020,federal:house,2020_FL_21,florida,Rep,House,F000462,3,,2020,151,39,florida,109,0.988168,,,
lori edwards,lori edwards,cand35960,995,FL12,12,TRUE,2010,federal:house,2010_FL_12,florida,Rep,,,1,,2010,176,37,florida,69,0.9999974,,,
eddie gonzalez,manny yevancey,,996,FL25,27,FALSE,2012,federal:house,2012_FL_25,florida,Rep,,,2,,2012,33,76,florida,97,0.83068776,,,
marco rubio,marco rubio,cand1603,997,FLS16,0,,2012,federal:senate,2012_FL_S,florida,Sen,Senate,R000595,11,,2012,1577,77,florida,115,0.9999999,,,
marcy kaptur,marcy kaptur,cand615,998,OH09,9,TRUE,2006,federal:house,2006_OH_9,ohio,Rep,,K000009,15,,2006,67,19,ohio,5,0.9999988,,,
marcy kaptur,marcy kaptur,cand615,998,OH09,9,TRUE,2016,federal:house,2016_OH_9,ohio,Rep,,K000009,15,,2016,207,17,ohio,0,0.9999988,,,
margaret elizabeth rowell good,margaret good,cand149872,999,FL16,16,TRUE,2020,federal:house,2020_FL_16,florida,Rep,,,0,,2020,190,41,florida,170,0.91871166,,,
margaret elizabeth rowell good,margaret good,cand149872,999,FL-72,16,,2020,state:lower,,florida,Rep,,,0,,2020,190,41,florida,170,0.91871166,,,
maria elvira salazar,maria elvira salazar,cand144623,1000,FL27,27,TRUE,2022,federal:house,2022_FL_27,florida,Rep,House,S000168,0,,2022,151,43,florida,13,0.9999979,,,
marihelen haddock wheeler,marihelen wheeler,cand191140,1001,FL03,3,TRUE,2014,federal:house,2014_FL_3,florida,Rep,,,2,,2014,22,35,florida,54,0.94536996,,,
mario diaz balart,mario diaz-balart,cand882,1002,FL25,25,TRUE,2008,federal:house,2008_FL_25,florida,Rep,House,D000600,14,,2008,44,33,florida,13,0.9898147,,,
marion dennis thorpe jr,"marion d. thorpe, jr.",cand103515,1003,FL23,23,TRUE,2008,federal:house,2008_FL_23,florida,Rep,,,1,,2008,6,34,florida,47,0.95026135,,,
mark foley,mark foley,cand1347,1004,FL16,16,TRUE,2006,federal:house,2006_FL_16,florida,Rep,,F000238,1,,2006,84,36,florida,29,0.99999875,,,
mark mulligan,mark mulligan,cand54056,1005,FL02,2,TRUE,2008,federal:house,2008_FL_2,florida,Rep,,,1,,2008,35,35,florida,61,0.9999978,,,
marsha blackburn,marsha blackburn,cand142904,1006,TN07,0,FALSE,2018,federal:house,2018_TN_7,tennessee,Sen,Senate,B001243,1,,2018,1311,17,tennessee,13,1.0000001,,,
marsha blackburn,marsha blackburn,cand142904,1006,TNS18,0,,2018,federal:senate,2018_TN_S,tennessee,Sen,Senate,B001243,1,,2018,1311,17,tennessee,13,1.0000001,,,
mary barzee flores,mary barzee flores,cand141566,1007,FL25,25,TRUE,2018,federal:house,2018_FL_25,florida,Rep,,,1,,2018,91,36,florida,75,0.99999684,,,
matt gaetz,matt gaetz,cand31555,1008,FL01,1,TRUE,2018,federal:house,2018_FL_1,florida,Rep,,G000578,3,,2018,190,37,florida,47,0.99999744,,,
maurice d hinchey,maurice d. hinchey,cand1319,1009,NY22,22,TRUE,2008,federal:house,2008_NY_22,new york,Rep,,H000627,4,,2008,53,43,new york,31,0.9861946,,,
mel martinez,mel martinez,cand1580,1010,FLS10,0,,2008,federal:senate,2008_FL_S,florida,Sen,,M001162,3,,2008,1462,36,florida,35,1,,,
melissa l bean,melissa l. bean,cand932,1011,IL08,8,TRUE,2006,federal:house,2006_IL_8,illinois,Rep,House,B001253,1,,2006,94,27,illinois,10,0.9848685,,,
michael hanley calderin,michael calderin,cand50091,1012,FL25,25,TRUE,2006,federal:house,2006_FL_25,florida,Rep,,,1,,2006,75,38,florida,77,0.934656,,,
mike doyle,mike doyle,cand1398,1013,PA18,18,TRUE,2018,federal:house,2018_PA_18,pennsylvania,Rep,,D000482,2,,2018,198,33,pennsylvania,37,0.9999978,,,
